Rodada,Líderes,TarefasDispachadas,TarefasAceitas,LíderesFalharam,NósÓrfãos
1,22,11,69,2,35
2,22,11,38,1,19
3,22,11,32,1,18
4,21,11,24,1,24
5,20,12,47,2,28
6,24,11,45,1,22
7,20,11,28,1,19
8,14,11,27,1,12
9,26,11,40,1,20
10,20,11,44,2,28
11,18,11,36,1,9
12,19,11,29,1,27
13,18,11,37,1,13
14,15,11,26,1,10
15,14,11,27,1,21
16,20,11,55,1,31
17,19,11,26,1,17
18,17,11,45,1,26
19,18,11,26,1,21
20,22,12,55,1,12
21,19,11,38,1,17
22,22,11,37,1,23
23,18,11,43,1,24
24,17,11,22,1,21
25,17,11,31,1,2
26,19,11,39,1,10
27,20,11,43,1,21
28,20,12,29,1,18
29,24,11,44,1,14
30,16,11,31,1,26
31,17,11,37,1,26
32,16,11,30,1,23
33,25,11,66,2,30
34,26,11,27,1,17
35,21,11,30,1,21
