approach,scenario,run,failure_time,orphan_total,successful_realloc,failed_realloc,tasks_quorum_ok,tasks_quorum_fail,connectivity_index
rl3,cenario1_tempo_fixo/310s_20percent,32,320.0,11,9,2,11,2,0.8182
rl3,cenario1_tempo_fixo/310s_20percent,33,320.0,50,48,2,8,18,0.96
rl3,cenario1_tempo_fixo/310s_20percent,34,320.0,53,51,2,11,1,0.9623
rl3,cenario1_tempo_fixo/310s_20percent,35,320.0,31,27,4,11,0,0.871
rl3,cenario1_tempo_fixo/310s_30percent,1,320.0,51,50,1,11,0,0.9804
rl3,cenario1_tempo_fixo/310s_30percent,2,320.0,41,38,3,9,11,0.9268
rl3,cenario1_tempo_fixo/310s_30percent,3,320.0,57,54,3,11,0,0.9474
rl3,cenario1_tempo_fixo/310s_30percent,4,320.0,61,55,6,10,5,0.9016
rl3,cenario1_tempo_fixo/310s_30percent,5,320.0,47,46,1,11,1,0.9787
rl3,cenario1_tempo_fixo/310s_30percent,6,320.0,14,14,0,8,18,1.0
rl3,cenario1_tempo_fixo/310s_30percent,7,320.0,40,38,2,11,1,0.95
rl3,cenario1_tempo_fixo/310s_30percent,8,320.0,43,42,1,11,1,0.9767
rl3,cenario1_tempo_fixo/310s_30percent,9,320.0,45,44,1,10,5,0.9778
rl3,cenario1_tempo_fixo/310s_30percent,10,320.0,51,51,0,11,0,1.0
rl3,cenario1_tempo_fixo/310s_30percent,11,320.0,37,36,1,9,11,0.973
rl3,cenario1_tempo_fixo/310s_30percent,12,320.0,37,36,1,9,11,0.973
rl3,cenario1_tempo_fixo/310s_30percent,13,320.0,48,45,3,11,0,0.9375
rl3,cenario1_tempo_fixo/310s_30percent,14,320.0,53,49,4,11,1,0.9245
rl3,cenario1_tempo_fixo/310s_30percent,15,320.0,34,30,4,10,5,0.8824
rl3,cenario1_tempo_fixo/310s_30percent,16,320.0,41,37,4,11,1,0.9024
rl3,cenario1_tempo_fixo/310s_30percent,17,320.0,27,26,1,9,11,0.963
rl3,cenario1_tempo_fixo/310s_30percent,18,320.0,39,38,1,11,3,0.9744
rl3,cenario1_tempo_fixo/310s_30percent,19,320.0,55,55,0,11,3,1.0
rl3,cenario1_tempo_fixo/310s_30percent,20,320.0,46,45,1,11,1,0.9783
rl3,cenario1_tempo_fixo/310s_30percent,21,320.0,49,46,3,10,5,0.9388
rl3,cenario1_tempo_fixo/310s_30percent,22,320.0,45,44,1,11,0,0.9778
rl3,cenario1_tempo_fixo/310s_30percent,23,320.0,56,52,4,11,1,0.9286
rl3,cenario1_tempo_fixo/310s_30percent,24,320.0,45,45,0,11,1,1.0
rl3,cenario1_tempo_fixo/310s_30percent,25,320.0,22,22,0,11,1,1.0
rl3,cenario1_tempo_fixo/310s_30percent,26,320.0,37,37,0,9,11,1.0
rl3,cenario1_tempo_fixo/310s_30percent,27,320.0,43,41,2,11,1,0.9535
rl3,cenario1_tempo_fixo/310s_30percent,28,320.0,25,25,0,11,3,1.0
rl3,cenario1_tempo_fixo/310s_30percent,29,320.0,50,50,0,11,2,1.0
rl3,cenario1_tempo_fixo/310s_30percent,30,320.0,47,47,0,11,1,1.0
rl3,cenario1_tempo_fixo/310s_30percent,31,320.0,35,32,3,11,3,0.9143
rl3,cenario1_tempo_fixo/310s_30percent,32,320.0,23,22,1,8,18,0.9565
rl3,cenario1_tempo_fixo/310s_30percent,33,320.0,38,37,1,10,5,0.9737
rl3,cenario1_tempo_fixo/310s_30percent,34,320.0,47,46,1,11,0,0.9787
rl3,cenario1_tempo_fixo/310s_30percent,35,320.0,15,13,2,11,0,0.8667
rl3,cenario2_tempo_aleatorio/180-600s_10percent,1,445.705,28,26,2,9,11,0.9286
rl3,cenario2_tempo_aleatorio/180-600s_10percent,2,485.059,29,28,1,11,0,0.9655
rl3,cenario2_tempo_aleatorio/180-600s_10percent,3,465.62,24,24,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,4,572.649,5,4,1,10,5,0.8
rl3,cenario2_tempo_aleatorio/180-600s_10percent,5,196.274,21,21,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,6,603.349,27,26,1,10,5,0.963
rl3,cenario2_tempo_aleatorio/180-600s_10percent,7,508.453,16,15,1,11,0,0.9375
rl3,cenario2_tempo_aleatorio/180-600s_10percent,8,415.936,25,24,1,10,5,0.96
rl3,cenario2_tempo_aleatorio/180-600s_10percent,9,314.794,18,18,0,8,18,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,10,512.546,15,15,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,11,246.273,25,25,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,12,527.529,11,11,0,11,3,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,13,420.909,4,4,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,14,299.472,16,14,2,11,0,0.875
rl3,cenario2_tempo_aleatorio/180-600s_10percent,15,578.052,11,10,1,11,1,0.9091
rl3,cenario2_tempo_aleatorio/180-600s_10percent,16,582.553,36,33,3,10,8,0.9167
rl3,cenario2_tempo_aleatorio/180-600s_10percent,17,310.497,26,26,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,18,200.67,7,7,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,19,591.378,29,27,2,11,1,0.931
rl3,cenario2_tempo_aleatorio/180-600s_10percent,20,315.457,19,17,2,11,1,0.8947
rl3,cenario2_tempo_aleatorio/180-600s_10percent,21,210.056,10,7,3,9,13,0.7
rl3,cenario2_tempo_aleatorio/180-600s_10percent,22,579.36,31,30,1,9,11,0.9677
rl3,cenario2_tempo_aleatorio/180-600s_10percent,23,216.645,29,28,1,11,0,0.9655
rl3,cenario2_tempo_aleatorio/180-600s_10percent,24,598.499,27,27,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,25,473.163,28,26,2,11,0,0.9286
rl3,cenario2_tempo_aleatorio/180-600s_10percent,26,295.62,14,14,0,6,30,1.0
