approach,scenario,run,num_leader_failures,orphan_total,rl_successful_realloc,rl_failed_realloc,realloc_rate,rl_new_clusters,rl_realloc_existing
rl1,cenario1_tempo_fixo/310s_20percent,30,1,7,7,0,1.0,0,7
rl1,cenario1_tempo_fixo/310s_20percent,31,1,32,29,3,0.9062,0,29
rl1,cenario1_tempo_fixo/310s_20percent,32,1,9,9,0,1.0,0,9
rl1,cenario1_tempo_fixo/310s_20percent,33,1,25,25,0,1.0,0,25
rl1,cenario1_tempo_fixo/310s_20percent,34,1,27,26,1,0.963,0,26
rl1,cenario1_tempo_fixo/310s_20percent,35,1,21,19,2,0.9048,0,19
rl1,cenario1_tempo_fixo/310s_30percent,1,3,84,82,2,0.9762,0,82
rl1,cenario1_tempo_fixo/310s_30percent,2,3,65,61,4,0.9385,0,61
rl1,cenario1_tempo_fixo/310s_30percent,3,2,61,60,1,0.9836,0,60
rl1,cenario1_tempo_fixo/310s_30percent,4,3,51,50,1,0.9804,0,50
rl1,cenario1_tempo_fixo/310s_30percent,5,2,45,43,2,0.9556,0,43
rl1,cenario1_tempo_fixo/310s_30percent,6,1,32,30,2,0.9375,0,30
rl1,cenario1_tempo_fixo/310s_30percent,7,2,36,35,1,0.9722,0,35
rl1,cenario1_tempo_fixo/310s_30percent,8,1,27,25,2,0.9259,0,25
rl1,cenario1_tempo_fixo/310s_30percent,9,2,42,37,5,0.881,0,37
rl1,cenario1_tempo_fixo/310s_30percent,10,2,31,30,1,0.9677,0,30
rl1,cenario1_tempo_fixo/310s_30percent,11,2,48,43,5,0.8958,0,43
rl1,cenario1_tempo_fixo/310s_30percent,12,1,21,16,5,0.7619,0,16
rl1,cenario1_tempo_fixo/310s_30percent,13,3,68,67,1,0.9853,0,67
rl1,cenario1_tempo_fixo/310s_30percent,14,2,28,26,2,0.9286,0,26
rl1,cenario1_tempo_fixo/310s_30percent,15,2,47,45,2,0.9574,0,45
rl1,cenario1_tempo_fixo/310s_30percent,16,2,39,37,2,0.9487,0,37
rl1,cenario1_tempo_fixo/310s_30percent,17,2,58,58,0,1.0,0,58
rl1,cenario1_tempo_fixo/310s_30percent,18,3,56,54,2,0.9643,0,54
rl1,cenario1_tempo_fixo/310s_30percent,19,2,49,47,2,0.9592,0,47
rl1,cenario1_tempo_fixo/310s_30percent,20,2,43,42,1,0.9767,0,42
rl1,cenario1_tempo_fixo/310s_30percent,21,3,30,30,0,1.0,0,30
rl1,cenario1_tempo_fixo/310s_30percent,22,2,27,26,1,0.963,0,26
rl1,cenario1_tempo_fixo/310s_30percent,23,2,29,28,1,0.9655,0,28
rl1,cenario1_tempo_fixo/310s_30percent,24,2,63,60,3,0.9524,0,60
rl1,cenario1_tempo_fixo/310s_30percent,25,2,29,28,1,0.9655,0,28
rl1,cenario1_tempo_fixo/310s_30percent,26,1,34,30,4,0.8824,0,30
rl1,cenario1_tempo_fixo/310s_30percent,27,2,32,31,1,0.9688,0,31
rl1,cenario1_tempo_fixo/310s_30percent,28,3,56,54,2,0.9643,0,54
rl1,cenario1_tempo_fixo/310s_30percent,29,2,49,45,4,0.9184,0,45
rl1,cenario1_tempo_fixo/310s_30percent,30,3,74,64,10,0.8649,0,64
rl1,cenario1_tempo_fixo/310s_30percent,31,2,20,20,0,1.0,0,20
rl1,cenario1_tempo_fixo/310s_30percent,32,2,41,37,4,0.9024,0,37
rl1,cenario1_tempo_fixo/310s_30percent,33,2,43,42,1,0.9767,0,42
rl1,cenario1_tempo_fixo/310s_30percent,34,2,49,48,1,0.9796,0,48
rl1,cenario1_tempo_fixo/310s_30percent,35,2,30,29,1,0.9667,0,29
rl1,cenario2_tempo_aleatorio/180-600s_10percent,1,1,12,11,1,0.9167,0,11
rl1,cenario2_tempo_aleatorio/180-600s_10percent,2,1,18,18,0,1.0,0,18
rl1,cenario2_tempo_aleatorio/180-600s_10percent,3,1,26,25,1,0.9615,0,25
rl1,cenario2_tempo_aleatorio/180-600s_10percent,4,1,8,7,1,0.875,0,7
rl1,cenario2_tempo_aleatorio/180-600s_10percent,5,1,12,12,0,1.0,0,12
rl1,cenario2_tempo_aleatorio/180-600s_10percent,6,1,27,24,3,0.8889,0,24
rl1,cenario2_tempo_aleatorio/180-600s_10percent,7,1,14,13,1,0.9286,0,13
rl1,cenario2_tempo_aleatorio/180-600s_10percent,8,1,28,25,3,0.8929,0,25
rl1,cenario2_tempo_aleatorio/180-600s_10percent,9,1,10,9,1,0.9,0,9
rl1,cenario2_tempo_aleatorio/180-600s_10percent,10,1,8,8,0,1.0,0,8
rl1,cenario2_tempo_aleatorio/180-600s_10percent,11,1,31,29,2,0.9355,0,29
rl1,cenario2_tempo_aleatorio/180-600s_10percent,12,1,15,15,0,1.0,0,15
rl1,cenario2_tempo_aleatorio/180-600s_10percent,13,1,9,9,0,1.0,0,9
rl1,cenario2_tempo_aleatorio/180-600s_10percent,14,1,31,29,2,0.9355,0,29
rl1,cenario2_tempo_aleatorio/180-600s_10percent,15,1,16,16,0,1.0,0,16
rl1,cenario2_tempo_aleatorio/180-600s_10percent,16,1,26,24,2,0.9231,0,24
rl1,cenario2_tempo_aleatorio/180-600s_10percent,17,1,17,17,0,1.0,0,17
rl1,cenario2_tempo_aleatorio/180-600s_10percent,18,1,22,20,2,0.9091,0,20
rl1,cenario2_tempo_aleatorio/180-600s_10percent,19,1,13,12,1,0.9231,0,12
rl1,cenario2_tempo_aleatorio/180-600s_10percent,20,1,30,28,2,0.9333,0,28
rl1,cenario2_tempo_aleatorio/180-600s_10percent,21,1,17,17,0,1.0,0,17
rl1,cenario2_tempo_aleatorio/180-600s_10percent,22,1,20,18,2,0.9,0,18
rl1,cenario2_tempo_aleatorio/180-600s_10percent,23,1,28,26,2,0.9286,0,26
rl1,cenario2_tempo_aleatorio/180-600s_10percent,24,1,8,7,1,0.875,0,7
rl1,cenario2_tempo_aleatorio/180-600s_10percent,25,1,29,26,3,0.8966,0,26
rl1,cenario2_tempo_aleatorio/180-600s_10percent,26,1,25,25,0,1.0,0,25
rl1,cenario2_tempo_aleatorio/180-600s_10percent,27,1,32,31,1,0.9688,0,31
rl1,cenario2_tempo_aleatorio/180-600s_10percent,28,1,20,20,0,1.0,0,20
rl1,cenario2_tempo_aleatorio/180-600s_10percent,29,1,34,34,0,1.0,0,34
