approach,scenario,run,tasks_dispatched,tasks_accepted,total_acceptances,tasks_quorum_ok,tasks_quorum_fail,task_success_rate,avg_accept_latency_s,median_accept_latency_s
rl1,cenario1_tempo_fixo/310s_20percent,28,21,12,43,9,11,0.4286,0.0366,0.023
rl1,cenario1_tempo_fixo/310s_20percent,29,12,12,41,11,1,0.9167,0.0345,0.031
rl1,cenario1_tempo_fixo/310s_20percent,30,11,11,47,11,0,1.0,0.0091,0.007
rl1,cenario1_tempo_fixo/310s_20percent,31,11,11,40,11,0,1.0,0.0207,0.016
rl1,cenario1_tempo_fixo/310s_20percent,32,11,11,48,11,0,1.0,0.022,0.018
rl1,cenario1_tempo_fixo/310s_20percent,33,12,12,43,11,1,0.9167,0.0269,0.0275
rl1,cenario1_tempo_fixo/310s_20percent,34,12,12,54,11,1,0.9167,0.0075,0.006
rl1,cenario1_tempo_fixo/310s_20percent,35,16,12,40,10,5,0.625,0.0307,0.0235
rl1,cenario1_tempo_fixo/310s_30percent,1,32,12,46,7,24,0.2188,0.0141,0.011
rl1,cenario1_tempo_fixo/310s_30percent,2,27,12,48,8,18,0.2963,0.0242,0.017
rl1,cenario1_tempo_fixo/310s_30percent,3,27,12,45,8,18,0.2963,0.0484,0.0315
rl1,cenario1_tempo_fixo/310s_30percent,4,21,12,50,9,11,0.4286,0.0201,0.018
rl1,cenario1_tempo_fixo/310s_30percent,5,27,11,49,8,18,0.2963,0.0297,0.031
rl1,cenario1_tempo_fixo/310s_30percent,6,12,12,35,11,1,0.9167,0.0251,0.0235
rl1,cenario1_tempo_fixo/310s_30percent,7,16,12,43,10,6,0.625,0.0199,0.02
rl1,cenario1_tempo_fixo/310s_30percent,8,27,12,42,8,18,0.2963,0.0357,0.017
rl1,cenario1_tempo_fixo/310s_30percent,9,11,11,40,11,0,1.0,0.0348,0.037
rl1,cenario1_tempo_fixo/310s_30percent,10,11,11,44,11,0,1.0,0.0429,0.051
rl1,cenario1_tempo_fixo/310s_30percent,11,16,12,43,10,5,0.625,0.0604,0.034
rl1,cenario1_tempo_fixo/310s_30percent,12,12,12,34,11,1,0.9167,0.017,0.01
rl1,cenario1_tempo_fixo/310s_30percent,13,32,12,43,7,24,0.2188,0.0331,0.026
rl1,cenario1_tempo_fixo/310s_30percent,14,11,11,37,11,0,1.0,0.0155,0.014
rl1,cenario1_tempo_fixo/310s_30percent,15,19,12,43,10,9,0.5263,0.0261,0.027
rl1,cenario1_tempo_fixo/310s_30percent,16,25,9,36,9,16,0.36,0.0276,0.027
rl1,cenario1_tempo_fixo/310s_30percent,17,32,11,38,7,24,0.2188,0.0231,0.017
rl1,cenario1_tempo_fixo/310s_30percent,18,21,12,67,9,11,0.4286,0.043,0.027
rl1,cenario1_tempo_fixo/310s_30percent,19,27,12,45,8,18,0.2963,0.0187,0.019
rl1,cenario1_tempo_fixo/310s_30percent,20,32,10,28,7,24,0.2188,0.0214,0.022
rl1,cenario1_tempo_fixo/310s_30percent,21,19,12,45,10,9,0.5263,0.0386,0.0375
rl1,cenario1_tempo_fixo/310s_30percent,22,11,11,61,11,0,1.0,0.0242,0.028
rl1,cenario1_tempo_fixo/310s_30percent,23,11,11,48,11,0,1.0,0.009,0.007
rl1,cenario1_tempo_fixo/310s_30percent,24,27,12,39,8,18,0.2963,0.0156,0.011
rl1,cenario1_tempo_fixo/310s_30percent,25,16,12,37,10,5,0.625,0.0269,0.014
rl1,cenario1_tempo_fixo/310s_30percent,26,16,12,39,10,5,0.625,0.0337,0.023
rl1,cenario1_tempo_fixo/310s_30percent,27,16,12,38,10,5,0.625,0.019,0.02
rl1,cenario1_tempo_fixo/310s_30percent,28,43,11,56,5,37,0.1163,0.0154,0.018
rl1,cenario1_tempo_fixo/310s_30percent,29,32,12,58,7,24,0.2188,0.0156,0.015
rl1,cenario1_tempo_fixo/310s_30percent,30,12,12,54,11,1,0.9167,0.0288,0.02
rl1,cenario1_tempo_fixo/310s_30percent,31,11,11,60,11,0,1.0,0.0112,0.011
rl1,cenario1_tempo_fixo/310s_30percent,32,16,12,44,10,5,0.625,0.0297,0.011
rl1,cenario1_tempo_fixo/310s_30percent,33,16,12,50,10,5,0.625,0.0241,0.015
rl1,cenario1_tempo_fixo/310s_30percent,34,12,12,40,11,1,0.9167,0.0144,0.0115
rl1,cenario1_tempo_fixo/310s_30percent,35,48,9,37,4,43,0.0833,0.0285,0.0215
rl1,cenario2_tempo_aleatorio/180-600s_10percent,1,11,11,49,11,0,1.0,0.0105,0.009
rl1,cenario2_tempo_aleatorio/180-600s_10percent,2,16,12,33,10,5,0.625,0.0294,0.022
rl1,cenario2_tempo_aleatorio/180-600s_10percent,3,14,12,40,11,3,0.7857,0.0143,0.012
rl1,cenario2_tempo_aleatorio/180-600s_10percent,4,27,12,54,8,18,0.2963,0.0226,0.0185
rl1,cenario2_tempo_aleatorio/180-600s_10percent,5,13,12,45,11,2,0.8462,0.0223,0.017
rl1,cenario2_tempo_aleatorio/180-600s_10percent,6,14,12,48,11,3,0.7857,0.0445,0.0335
rl1,cenario2_tempo_aleatorio/180-600s_10percent,7,24,12,61,9,15,0.375,0.035,0.0215
rl1,cenario2_tempo_aleatorio/180-600s_10percent,8,16,12,33,10,5,0.625,0.0463,0.04
rl1,cenario2_tempo_aleatorio/180-600s_10percent,9,21,12,41,9,11,0.4286,0.0374,0.032
rl1,cenario2_tempo_aleatorio/180-600s_10percent,10,12,12,50,11,1,0.9167,0.0223,0.0105
rl1,cenario2_tempo_aleatorio/180-600s_10percent,11,32,12,58,7,24,0.2188,0.0454,0.018
rl1,cenario2_tempo_aleatorio/180-600s_10percent,12,14,12,51,11,3,0.7857,0.0308,0.03
rl1,cenario2_tempo_aleatorio/180-600s_10percent,13,11,11,41,11,0,1.0,0.0085,0.006
rl1,cenario2_tempo_aleatorio/180-600s_10percent,14,16,12,57,10,5,0.625,0.0109,0.01
rl1,cenario2_tempo_aleatorio/180-600s_10percent,15,27,12,46,8,18,0.2963,0.0207,0.006
rl1,cenario2_tempo_aleatorio/180-600s_10percent,16,16,12,44,10,5,0.625,0.0184,0.011
rl1,cenario2_tempo_aleatorio/180-600s_10percent,17,13,12,50,11,2,0.8462,0.0325,0.027
rl1,cenario2_tempo_aleatorio/180-600s_10percent,18,11,11,46,11,0,1.0,0.0428,0.028
rl1,cenario2_tempo_aleatorio/180-600s_10percent,19,32,12,67,7,24,0.2188,0.0238,0.02
rl1,cenario2_tempo_aleatorio/180-600s_10percent,20,11,11,56,11,0,1.0,0.0224,0.024
rl1,cenario2_tempo_aleatorio/180-600s_10percent,21,27,12,42,8,18,0.2963,0.0217,0.021
rl1,cenario2_tempo_aleatorio/180-600s_10percent,22,32,12,52,7,24,0.2188,0.0435,0.0435
rl1,cenario2_tempo_aleatorio/180-600s_10percent,23,11,11,44,11,0,1.0,0.0199,0.022
rl1,cenario2_tempo_aleatorio/180-600s_10percent,24,13,12,41,11,2,0.8462,0.0286,0.031
rl1,cenario2_tempo_aleatorio/180-600s_10percent,25,12,12,32,11,1,0.9167,0.0148,0.016
rl1,cenario2_tempo_aleatorio/180-600s_10percent,26,12,12,47,11,1,0.9167,0.0283,0.0315
rl1,cenario2_tempo_aleatorio/180-600s_10percent,27,16,12,42,10,5,0.625,0.05,0.023
rl1,cenario2_tempo_aleatorio/180-600s_10percent,28,16,12,41,10,5,0.625,0.0194,0.01
rl1,cenario2_tempo_aleatorio/180-600s_10percent,29,11,11,38,11,0,1.0,0.014,0.013
rl1,cenario2_tempo_aleatorio/180-600s_10percent,30,12,12,50,11,1,0.9167,0.0181,0.0155
rl1,cenario2_tempo_aleatorio/180-600s_10percent,31,12,12,69,11,1,0.9167,0.0197,0.0155
rl1,cenario2_tempo_aleatorio/180-600s_10percent,32,12,12,32,11,1,0.9167,0.0312,0.0275
rl1,cenario2_tempo_aleatorio/180-600s_10percent,33,27,11,65,8,18,0.2963,0.0239,0.012
rl1,cenario2_tempo_aleatorio/180-600s_10percent,34,12,12,48,11,1,0.9167,0.0323,0.0285
rl1,cenario2_tempo_aleatorio/180-600s_10percent,35,27,12,60,8,18,0.2963,0.012,0.01
rl1,cenario2_tempo_aleatorio/180-600s_20percent,1,11,11,38,11,0,1.0,0.0111,0.011
rl1,cenario2_tempo_aleatorio/180-600s_20percent,2,11,11,40,11,0,1.0,0.0362,0.044
rl1,cenario2_tempo_aleatorio/180-600s_20percent,3,27,12,62,8,18,0.2963,0.0419,0.0225
rl1,cenario2_tempo_aleatorio/180-600s_20percent,4,12,12,43,11,1,0.9167,0.0063,0.006
rl1,cenario2_tempo_aleatorio/180-600s_20percent,5,17,12,52,10,7,0.5882,0.0297,0.021
rl1,cenario2_tempo_aleatorio/180-600s_20percent,6,32,12,50,7,24,0.2188,0.0086,0.009
rl1,cenario2_tempo_aleatorio/180-600s_20percent,7,27,12,43,8,18,0.2963,0.0172,0.0095
rl1,cenario2_tempo_aleatorio/180-600s_20percent,8,27,12,50,8,18,0.2963,0.0176,0.017
rl1,cenario2_tempo_aleatorio/180-600s_20percent,9,16,12,53,10,5,0.625,0.0223,0.019
rl1,cenario2_tempo_aleatorio/180-600s_20percent,10,27,12,40,8,18,0.2963,0.0663,0.074
