approach,scenario,run,tasks_dispatched,tasks_accepted,total_acceptances,tasks_quorum_ok,tasks_quorum_fail,task_success_rate,avg_accept_latency_s,median_accept_latency_s
rl2,cenario1_tempo_fixo/310s_10percent,17,27,12,55,8,18,0.2963,0.0358,0.024
rl2,cenario1_tempo_fixo/310s_10percent,18,11,11,60,11,0,1.0,0.0268,0.026
rl2,cenario1_tempo_fixo/310s_10percent,19,21,12,48,9,11,0.4286,0.0237,0.013
rl2,cenario1_tempo_fixo/310s_10percent,20,16,12,39,10,5,0.625,0.0218,0.0225
rl2,cenario1_tempo_fixo/310s_10percent,21,11,11,40,11,0,1.0,0.0442,0.046
rl2,cenario1_tempo_fixo/310s_10percent,22,14,12,53,11,3,0.7857,0.025,0.0185
rl2,cenario1_tempo_fixo/310s_10percent,23,11,11,25,11,0,1.0,0.0455,0.047
rl2,cenario1_tempo_fixo/310s_10percent,24,11,11,51,11,0,1.0,0.0342,0.024
rl2,cenario1_tempo_fixo/310s_10percent,25,16,12,51,10,5,0.625,0.0302,0.029
rl2,cenario1_tempo_fixo/310s_10percent,26,12,12,51,11,1,0.9167,0.037,0.021
rl2,cenario1_tempo_fixo/310s_10percent,27,16,12,37,10,5,0.625,0.0184,0.015
rl2,cenario1_tempo_fixo/310s_10percent,28,16,12,48,10,5,0.625,0.0389,0.033
rl2,cenario1_tempo_fixo/310s_10percent,29,21,12,45,9,11,0.4286,0.0328,0.026
rl2,cenario1_tempo_fixo/310s_10percent,30,14,12,39,11,3,0.7857,0.021,0.0155
rl2,cenario1_tempo_fixo/310s_10percent,31,16,12,37,10,5,0.625,0.0346,0.028
rl2,cenario1_tempo_fixo/310s_10percent,32,17,12,42,10,7,0.5882,0.0127,0.0115
rl2,cenario1_tempo_fixo/310s_10percent,33,12,12,41,11,1,0.9167,0.0117,0.008
rl2,cenario1_tempo_fixo/310s_10percent,34,16,12,43,10,5,0.625,0.0428,0.029
rl2,cenario1_tempo_fixo/310s_10percent,35,18,12,43,10,8,0.5556,0.034,0.021
rl2,cenario1_tempo_fixo/310s_20percent,1,11,11,43,11,0,1.0,0.0168,0.013
rl2,cenario1_tempo_fixo/310s_20percent,2,11,11,44,11,0,1.0,0.026,0.014
rl2,cenario1_tempo_fixo/310s_20percent,3,11,11,43,11,0,1.0,0.0445,0.054
rl2,cenario1_tempo_fixo/310s_20percent,4,16,12,53,10,5,0.625,0.0081,0.0065
rl2,cenario1_tempo_fixo/310s_20percent,5,11,11,50,11,0,1.0,0.0256,0.015
rl2,cenario1_tempo_fixo/310s_20percent,6,11,11,53,11,0,1.0,0.0295,0.03
rl2,cenario1_tempo_fixo/310s_20percent,7,27,12,51,8,18,0.2963,0.0325,0.03
rl2,cenario1_tempo_fixo/310s_20percent,8,11,11,46,11,0,1.0,0.0147,0.013
rl2,cenario1_tempo_fixo/310s_20percent,9,21,12,50,9,11,0.4286,0.0376,0.022
rl2,cenario1_tempo_fixo/310s_20percent,10,21,12,41,9,11,0.4286,0.0238,0.019
rl2,cenario1_tempo_fixo/310s_20percent,11,11,11,41,11,0,1.0,0.0158,0.015
rl2,cenario1_tempo_fixo/310s_20percent,12,16,12,42,10,5,0.625,0.0217,0.0145
rl2,cenario1_tempo_fixo/310s_20percent,13,16,12,53,10,5,0.625,0.5191,0.016
rl2,cenario1_tempo_fixo/310s_20percent,14,21,12,58,9,11,0.4286,0.049,0.0535
rl2,cenario1_tempo_fixo/310s_20percent,15,11,11,55,11,0,1.0,0.0506,0.054
rl2,cenario1_tempo_fixo/310s_20percent,16,13,12,43,11,2,0.8462,0.0191,0.011
rl2,cenario1_tempo_fixo/310s_20percent,17,16,12,51,10,5,0.625,0.1129,0.0115
rl2,cenario1_tempo_fixo/310s_20percent,18,12,12,57,11,1,0.9167,0.0465,0.039
rl2,cenario1_tempo_fixo/310s_20percent,19,12,12,55,11,1,0.9167,0.0168,0.017
rl2,cenario1_tempo_fixo/310s_20percent,20,11,11,41,11,0,1.0,0.0107,0.007
rl2,cenario1_tempo_fixo/310s_20percent,21,11,11,71,11,0,1.0,0.0339,0.022
rl2,cenario1_tempo_fixo/310s_20percent,22,11,11,51,11,0,1.0,0.0185,0.014
rl2,cenario1_tempo_fixo/310s_20percent,23,21,12,44,9,11,0.4286,0.0141,0.012
rl2,cenario1_tempo_fixo/310s_20percent,24,27,12,76,8,18,0.2963,0.0286,0.017
rl2,cenario1_tempo_fixo/310s_20percent,25,27,12,60,8,18,0.2963,0.0145,0.014
rl2,cenario1_tempo_fixo/310s_20percent,26,12,12,36,11,1,0.9167,0.0343,0.0305
rl2,cenario1_tempo_fixo/310s_20percent,27,16,12,41,10,5,0.625,0.0252,0.0125
rl2,cenario1_tempo_fixo/310s_20percent,28,12,12,61,11,1,0.9167,0.0174,0.017
rl2,cenario1_tempo_fixo/310s_20percent,29,11,11,51,11,0,1.0,0.0086,0.007
rl2,cenario1_tempo_fixo/310s_20percent,30,14,12,42,11,3,0.7857,0.0193,0.0185
rl2,cenario1_tempo_fixo/310s_20percent,31,27,12,57,8,18,0.2963,0.0205,0.019
rl2,cenario1_tempo_fixo/310s_20percent,32,12,12,43,11,1,0.9167,0.0094,0.0085
rl2,cenario1_tempo_fixo/310s_20percent,33,21,12,41,9,11,0.4286,0.0684,0.058
rl2,cenario1_tempo_fixo/310s_20percent,34,11,11,45,11,0,1.0,0.0262,0.013
rl2,cenario1_tempo_fixo/310s_20percent,35,11,11,43,11,0,1.0,0.0347,0.034
rl2,cenario1_tempo_fixo/310s_30percent,1,11,11,43,11,0,1.0,0.0417,0.05
rl2,cenario1_tempo_fixo/310s_30percent,2,11,11,36,11,0,1.0,0.0088,0.006
rl2,cenario1_tempo_fixo/310s_30percent,3,16,11,38,10,6,0.625,0.0182,0.019
rl2,cenario1_tempo_fixo/310s_30percent,4,11,11,44,11,0,1.0,0.0435,0.011
rl2,cenario1_tempo_fixo/310s_30percent,5,11,11,45,11,0,1.0,0.016,0.007
rl2,cenario1_tempo_fixo/310s_30percent,6,11,11,55,11,0,1.0,0.0095,0.009
rl2,cenario1_tempo_fixo/310s_30percent,7,11,11,50,11,0,1.0,0.03,0.027
rl2,cenario1_tempo_fixo/310s_30percent,8,11,11,42,11,0,1.0,0.021,0.017
rl2,cenario1_tempo_fixo/310s_30percent,9,14,12,52,11,3,0.7857,0.0136,0.0115
rl2,cenario1_tempo_fixo/310s_30percent,10,11,11,53,11,0,1.0,0.0318,0.02
rl2,cenario1_tempo_fixo/310s_30percent,11,12,12,45,11,1,0.9167,0.0372,0.0245
rl2,cenario1_tempo_fixo/310s_30percent,12,11,11,39,11,0,1.0,0.0229,0.02
rl2,cenario1_tempo_fixo/310s_30percent,13,11,11,65,11,0,1.0,0.0411,0.035
rl2,cenario1_tempo_fixo/310s_30percent,14,12,12,47,11,1,0.9167,0.0306,0.0315
rl2,cenario1_tempo_fixo/310s_30percent,15,11,11,55,11,0,1.0,0.0175,0.017
rl2,cenario1_tempo_fixo/310s_30percent,16,16,12,51,10,5,0.625,0.0337,0.0265
rl2,cenario1_tempo_fixo/310s_30percent,17,16,12,37,10,5,0.625,0.6092,0.0095
rl2,cenario1_tempo_fixo/310s_30percent,18,12,12,54,11,1,0.9167,0.0216,0.0205
rl2,cenario1_tempo_fixo/310s_30percent,19,16,12,49,10,5,0.625,0.0347,0.0205
rl2,cenario1_tempo_fixo/310s_30percent,20,11,11,63,11,0,1.0,0.0269,0.011
rl2,cenario1_tempo_fixo/310s_30percent,21,12,12,47,11,1,0.9167,0.0234,0.018
rl2,cenario1_tempo_fixo/310s_30percent,22,27,12,60,8,18,0.2963,0.0294,0.022
rl2,cenario1_tempo_fixo/310s_30percent,23,16,12,48,10,5,0.625,0.0584,0.0605
rl2,cenario1_tempo_fixo/310s_30percent,24,12,12,46,11,1,0.9167,0.0315,0.0325
rl2,cenario1_tempo_fixo/310s_30percent,25,12,12,57,11,1,0.9167,0.0183,0.0175
rl2,cenario1_tempo_fixo/310s_30percent,26,19,12,53,10,9,0.5263,0.0102,0.009
rl2,cenario1_tempo_fixo/310s_30percent,27,11,11,45,11,0,1.0,0.0211,0.024
rl2,cenario1_tempo_fixo/310s_30percent,28,16,12,42,10,5,0.625,0.0278,0.03
rl2,cenario1_tempo_fixo/310s_30percent,29,16,12,47,10,5,0.625,0.0341,0.027
rl2,cenario1_tempo_fixo/310s_30percent,30,13,12,37,11,2,0.8462,0.0465,0.032
rl2,cenario1_tempo_fixo/310s_30percent,31,12,12,43,11,1,0.9167,0.0247,0.0205
rl2,cenario1_tempo_fixo/310s_30percent,32,11,11,42,11,0,1.0,0.0083,0.009
rl2,cenario1_tempo_fixo/310s_30percent,33,12,12,46,11,1,0.9167,0.0246,0.0275
rl2,cenario1_tempo_fixo/310s_30percent,34,11,11,76,11,0,1.0,0.0167,0.015
rl2,cenario1_tempo_fixo/310s_30percent,35,16,12,59,10,5,0.625,0.0238,0.014
rl2,cenario2_tempo_aleatorio/180-600s_10percent,1,11,11,39,11,0,1.0,0.0175,0.015
rl2,cenario2_tempo_aleatorio/180-600s_10percent,2,11,11,45,11,0,1.0,0.009,0.007
rl2,cenario2_tempo_aleatorio/180-600s_10percent,3,11,11,36,11,0,1.0,0.0403,0.041
rl2,cenario2_tempo_aleatorio/180-600s_10percent,4,11,11,61,11,0,1.0,0.0116,0.011
rl2,cenario2_tempo_aleatorio/180-600s_10percent,5,11,11,51,11,0,1.0,0.015,0.015
rl2,cenario2_tempo_aleatorio/180-600s_10percent,6,13,12,50,11,2,0.8462,0.0285,0.026
rl2,cenario2_tempo_aleatorio/180-600s_10percent,7,16,12,66,10,5,0.625,0.016,0.015
rl2,cenario2_tempo_aleatorio/180-600s_10percent,8,12,12,54,11,1,0.9167,0.0237,0.0175
rl2,cenario2_tempo_aleatorio/180-600s_10percent,9,21,12,40,9,11,0.4286,0.0317,0.028
rl2,cenario2_tempo_aleatorio/180-600s_10percent,10,16,12,47,10,6,0.625,0.037,0.029
rl2,cenario2_tempo_aleatorio/180-600s_10percent,11,11,11,54,11,0,1.0,0.025,0.021
rl2,cenario2_tempo_aleatorio/180-600s_10percent,12,11,11,47,11,0,1.0,0.0076,0.008
rl2,cenario2_tempo_aleatorio/180-600s_10percent,13,11,11,50,11,0,1.0,0.0244,0.024
rl2,cenario2_tempo_aleatorio/180-600s_10percent,14,27,12,56,8,18,0.2963,0.0234,0.024
rl2,cenario2_tempo_aleatorio/180-600s_10percent,15,12,12,38,11,1,0.9167,0.0497,0.036
rl2,cenario2_tempo_aleatorio/180-600s_10percent,16,21,12,59,9,11,0.4286,0.0207,0.015
rl2,cenario2_tempo_aleatorio/180-600s_10percent,17,13,12,42,11,2,0.8462,0.0371,0.033
rl2,cenario2_tempo_aleatorio/180-600s_10percent,18,11,11,55,11,0,1.0,0.0089,0.009
rl2,cenario2_tempo_aleatorio/180-600s_10percent,19,16,12,38,10,5,0.625,0.0123,0.01
rl2,cenario2_tempo_aleatorio/180-600s_10percent,20,11,11,50,11,0,1.0,0.0125,0.01
rl2,cenario2_tempo_aleatorio/180-600s_10percent,21,11,11,59,11,0,1.0,0.0244,0.02
rl2,cenario2_tempo_aleatorio/180-600s_10percent,22,12,12,54,11,1,0.9167,0.0228,0.021
rl2,cenario2_tempo_aleatorio/180-600s_10percent,23,27,12,57,8,18,0.2963,0.0199,0.012
rl2,cenario2_tempo_aleatorio/180-600s_10percent,24,16,12,35,10,5,0.625,0.0181,0.015
rl2,cenario2_tempo_aleatorio/180-600s_10percent,25,27,12,60,8,18,0.2963,0.0554,0.046
rl2,cenario2_tempo_aleatorio/180-600s_10percent,26,21,12,52,9,11,0.4286,0.0272,0.0205
rl2,cenario2_tempo_aleatorio/180-600s_10percent,27,16,12,48,10,5,0.625,0.031,0.0205
rl2,cenario2_tempo_aleatorio/180-600s_10percent,28,17,12,46,10,7,0.5882,0.0282,0.019
rl2,cenario2_tempo_aleatorio/180-600s_10percent,29,16,12,44,10,5,0.625,0.0182,0.02
rl2,cenario2_tempo_aleatorio/180-600s_10percent,30,16,12,39,10,5,0.625,0.0106,0.01
rl2,cenario2_tempo_aleatorio/180-600s_10percent,31,14,12,44,11,3,0.7857,0.0265,0.0315
rl2,cenario2_tempo_aleatorio/180-600s_10percent,32,14,12,61,11,3,0.7857,0.0086,0.006
rl2,cenario2_tempo_aleatorio/180-600s_10percent,33,12,12,42,11,1,0.9167,0.0215,0.0175
rl2,cenario2_tempo_aleatorio/180-600s_10percent,34,21,12,47,9,11,0.4286,0.025,0.025
rl2,cenario2_tempo_aleatorio/180-600s_10percent,35,12,12,49,11,1,0.9167,0.0307,0.0315
rl2,cenario2_tempo_aleatorio/180-600s_20percent,1,16,12,56,10,5,0.625,0.0239,0.023
rl2,cenario2_tempo_aleatorio/180-600s_20percent,2,12,12,32,11,1,0.9167,0.4541,0.039
rl2,cenario2_tempo_aleatorio/180-600s_20percent,3,21,12,47,9,11,0.4286,0.031,0.028
rl2,cenario2_tempo_aleatorio/180-600s_20percent,4,12,12,33,11,1,0.9167,0.0149,0.012
rl2,cenario2_tempo_aleatorio/180-600s_20percent,5,16,12,44,10,5,0.625,0.0132,0.0095
rl2,cenario2_tempo_aleatorio/180-600s_20percent,6,12,12,45,11,1,0.9167,0.0333,0.036
rl2,cenario2_tempo_aleatorio/180-600s_20percent,7,12,12,33,11,1,0.9167,0.0205,0.0165
rl2,cenario2_tempo_aleatorio/180-600s_20percent,8,16,12,42,10,5,0.625,0.0229,0.015
rl2,cenario2_tempo_aleatorio/180-600s_20percent,9,11,11,55,11,0,1.0,0.0295,0.028
rl2,cenario2_tempo_aleatorio/180-600s_20percent,10,12,12,79,11,1,0.9167,0.0367,0.023
rl2,cenario2_tempo_aleatorio/180-600s_20percent,11,16,12,46,10,5,0.625,0.0298,0.033
rl2,cenario2_tempo_aleatorio/180-600s_20percent,12,16,12,37,10,5,0.625,0.0237,0.026
rl2,cenario2_tempo_aleatorio/180-600s_20percent,13,11,11,53,11,0,1.0,0.0155,0.016
rl2,cenario2_tempo_aleatorio/180-600s_20percent,14,21,12,48,9,11,0.4286,0.0289,0.026
rl2,cenario2_tempo_aleatorio/180-600s_20percent,15,16,12,44,10,5,0.625,0.0397,0.0345
rl2,cenario2_tempo_aleatorio/180-600s_20percent,16,25,12,54,9,16,0.36,0.0251,0.026
rl2,cenario2_tempo_aleatorio/180-600s_20percent,17,21,12,67,9,11,0.4286,0.0231,0.018
rl2,cenario2_tempo_aleatorio/180-600s_20percent,18,28,12,65,8,20,0.2857,0.0366,0.034
rl2,cenario2_tempo_aleatorio/180-600s_20percent,19,12,12,44,11,1,0.9167,0.0252,0.028
rl2,cenario2_tempo_aleatorio/180-600s_20percent,20,21,12,44,9,11,0.4286,0.021,0.019
rl2,cenario2_tempo_aleatorio/180-600s_20percent,21,11,11,53,11,0,1.0,0.0112,0.008
rl2,cenario2_tempo_aleatorio/180-600s_20percent,22,12,12,48,11,1,0.9167,0.0287,0.027
rl2,cenario2_tempo_aleatorio/180-600s_20percent,23,11,11,72,11,0,1.0,0.0165,0.016
rl2,cenario2_tempo_aleatorio/180-600s_20percent,24,12,12,50,11,1,0.9167,0.0233,0.014
rl2,cenario2_tempo_aleatorio/180-600s_20percent,25,13,12,49,11,2,0.8462,0.0348,0.035
rl2,cenario2_tempo_aleatorio/180-600s_20percent,26,11,11,43,11,0,1.0,0.0303,0.035
rl2,cenario2_tempo_aleatorio/180-600s_20percent,27,11,11,53,11,0,1.0,0.0088,0.008
rl2,cenario2_tempo_aleatorio/180-600s_20percent,28,16,12,40,10,6,0.625,0.016,0.013
rl2,cenario2_tempo_aleatorio/180-600s_20percent,29,11,11,46,11,0,1.0,0.028,0.028
rl2,cenario2_tempo_aleatorio/180-600s_20percent,30,13,12,45,11,2,0.8462,0.0304,0.029
rl2,cenario2_tempo_aleatorio/180-600s_20percent,31,12,12,42,11,1,0.9167,0.0402,0.039
rl2,cenario2_tempo_aleatorio/180-600s_20percent,32,11,11,40,11,0,1.0,0.0302,0.021
rl2,cenario2_tempo_aleatorio/180-600s_20percent,33,11,11,48,11,0,1.0,0.0091,0.005
rl2,cenario2_tempo_aleatorio/180-600s_20percent,34,11,11,56,11,0,1.0,0.0115,0.01
rl2,cenario2_tempo_aleatorio/180-600s_20percent,35,12,12,39,11,1,0.9167,0.0362,0.03
rl2,cenario2_tempo_aleatorio/180-600s_30percent,1,12,12,48,11,1,0.9167,0.0367,0.037
rl2,cenario2_tempo_aleatorio/180-600s_30percent,2,12,12,31,11,1,0.9167,0.0323,0.037
rl2,cenario2_tempo_aleatorio/180-600s_30percent,3,21,12,57,9,11,0.4286,0.0246,0.021
rl2,cenario2_tempo_aleatorio/180-600s_30percent,4,13,12,40,11,2,0.8462,0.0392,0.02
rl2,cenario2_tempo_aleatorio/180-600s_30percent,5,16,12,56,10,5,0.625,0.0151,0.014
rl2,cenario2_tempo_aleatorio/180-600s_30percent,6,12,12,53,11,1,0.9167,0.0211,0.0195
rl2,cenario2_tempo_aleatorio/180-600s_30percent,7,21,12,50,9,11,0.4286,0.0337,0.024
rl2,cenario2_tempo_aleatorio/180-600s_30percent,8,12,12,56,11,1,0.9167,0.0224,0.0125
rl2,cenario2_tempo_aleatorio/180-600s_30percent,9,16,12,35,10,5,0.625,0.0323,0.024
rl2,cenario2_tempo_aleatorio/180-600s_30percent,10,12,12,58,11,1,0.9167,0.0413,0.0205
rl2,cenario2_tempo_aleatorio/180-600s_30percent,11,11,11,47,11,0,1.0,0.0308,0.022
rl2,cenario2_tempo_aleatorio/180-600s_30percent,12,12,12,45,11,1,0.9167,0.0332,0.031
rl2,cenario2_tempo_aleatorio/180-600s_30percent,13,11,11,50,11,0,1.0,0.0286,0.025
rl2,cenario2_tempo_aleatorio/180-600s_30percent,14,14,12,74,11,3,0.7857,0.0207,0.013
rl2,cenario2_tempo_aleatorio/180-600s_30percent,15,27,12,50,8,18,0.2963,0.0294,0.019
rl2,cenario2_tempo_aleatorio/180-600s_30percent,16,27,12,49,8,18,0.2963,0.0365,0.0335
rl2,cenario2_tempo_aleatorio/180-600s_30percent,17,21,12,57,9,11,0.4286,0.0231,0.014
rl2,cenario2_tempo_aleatorio/180-600s_30percent,18,16,12,57,10,5,0.625,0.0163,0.013
rl2,cenario2_tempo_aleatorio/180-600s_30percent,19,11,11,45,11,0,1.0,0.0369,0.02
rl2,cenario2_tempo_aleatorio/180-600s_30percent,20,13,12,48,11,2,0.8462,0.0161,0.012
rl2,cenario2_tempo_aleatorio/180-600s_30percent,21,13,12,39,11,2,0.8462,0.0178,0.018
rl2,cenario2_tempo_aleatorio/180-600s_30percent,22,12,12,48,11,1,0.9167,0.0255,0.0185
rl2,cenario2_tempo_aleatorio/180-600s_30percent,23,16,12,46,10,5,0.625,0.018,0.0135
rl2,cenario2_tempo_aleatorio/180-600s_30percent,24,11,11,51,11,0,1.0,0.0321,0.026
rl2,cenario2_tempo_aleatorio/180-600s_30percent,25,16,12,38,10,5,0.625,0.0337,0.019
rl2,cenario2_tempo_aleatorio/180-600s_30percent,26,12,12,62,11,1,0.9167,0.029,0.0275
rl2,cenario2_tempo_aleatorio/180-600s_30percent,27,11,11,47,11,0,1.0,0.0118,0.012
rl2,cenario2_tempo_aleatorio/180-600s_30percent,28,24,12,64,9,15,0.375,0.0227,0.021
rl2,cenario2_tempo_aleatorio/180-600s_30percent,29,11,11,52,11,0,1.0,0.0165,0.011
rl2,cenario2_tempo_aleatorio/180-600s_30percent,30,19,12,51,10,9,0.5263,0.0295,0.021
rl2,cenario2_tempo_aleatorio/180-600s_30percent,31,27,12,45,8,18,0.2963,0.0284,0.015
rl2,cenario2_tempo_aleatorio/180-600s_30percent,32,21,12,40,9,11,0.4286,0.0244,0.023
rl2,cenario2_tempo_aleatorio/180-600s_30percent,33,11,11,55,11,0,1.0,0.0089,0.009
rl2,cenario2_tempo_aleatorio/180-600s_30percent,34,11,11,48,11,0,1.0,0.0139,0.014
rl2,cenario2_tempo_aleatorio/180-600s_30percent,35,11,11,50,11,0,1.0,0.0395,0.039
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,1,11,11,62,11,0,1.0,0.02,0.021
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,2,21,12,48,9,11,0.4286,0.0247,0.019
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,3,16,12,42,10,5,0.625,0.0409,0.036
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,4,12,12,73,11,1,0.9167,0.4362,0.0105
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,5,21,12,49,9,11,0.4286,0.0244,0.022
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,6,21,12,45,9,11,0.4286,0.0446,0.04
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,7,21,12,54,9,11,0.4286,0.0319,0.015
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,8,21,12,44,9,11,0.4286,0.0247,0.012
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,9,32,12,54,7,24,0.2188,0.0319,0.021
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,10,16,12,57,10,5,0.625,0.0248,0.0225
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,11,11,11,42,11,0,1.0,0.0148,0.011
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,12,16,12,51,10,5,0.625,0.0228,0.025
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,13,11,11,32,11,0,1.0,0.0408,0.045
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,14,11,11,42,11,0,1.0,0.0082,0.007
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,15,12,12,32,11,1,0.9167,0.0292,0.035
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,16,21,12,45,9,11,0.4286,0.0284,0.015
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,17,12,12,38,11,1,0.9167,0.0166,0.0165
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,18,16,12,56,10,5,0.625,0.0349,0.035
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,19,12,12,47,11,1,0.9167,0.0346,0.0245
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,20,12,12,45,11,1,0.9167,0.0137,0.0135
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,21,11,11,60,11,0,1.0,0.0072,0.006
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,22,13,12,57,11,2,0.8462,0.0135,0.015
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,23,11,11,45,11,0,1.0,0.025,0.017
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,24,13,12,51,11,2,0.8462,0.0331,0.017
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,25,12,12,35,11,1,0.9167,0.0169,0.006
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,26,12,12,57,11,1,0.9167,0.0187,0.0135
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,27,11,11,53,11,0,1.0,0.009,0.008
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,28,11,11,60,11,0,1.0,0.0217,0.02
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,29,21,12,38,9,11,0.4286,0.0192,0.019
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,30,14,12,54,11,3,0.7857,0.0158,0.0135
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,31,11,11,48,11,0,1.0,0.0274,0.029
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,32,13,12,34,11,2,0.8462,0.0406,0.049
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,33,11,11,42,11,0,1.0,0.0251,0.026
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,34,21,12,55,9,11,0.4286,0.0283,0.0185
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,35,11,11,69,11,0,1.0,0.0401,0.038
rl3,cenario1_tempo_fixo/310s_10percent,1,11,11,36,11,0,1.0,0.0077,0.006
rl3,cenario1_tempo_fixo/310s_10percent,2,16,12,39,10,5,0.625,0.0277,0.0125
rl3,cenario1_tempo_fixo/310s_10percent,3,12,12,43,11,1,0.9167,0.0283,0.0225
rl3,cenario1_tempo_fixo/310s_10percent,4,16,12,63,10,5,0.625,0.0173,0.014
rl3,cenario1_tempo_fixo/310s_10percent,5,16,12,49,10,5,0.625,0.0242,0.0145
rl3,cenario1_tempo_fixo/310s_10percent,6,13,12,65,11,2,0.8462,0.0223,0.016
rl3,cenario1_tempo_fixo/310s_10percent,7,16,12,42,10,6,0.625,0.03,0.0285
rl3,cenario1_tempo_fixo/310s_10percent,8,17,12,50,10,7,0.5882,0.0473,0.042
rl3,cenario1_tempo_fixo/310s_10percent,9,14,12,44,11,3,0.7857,0.0323,0.02
rl3,cenario1_tempo_fixo/310s_10percent,10,11,11,52,11,0,1.0,0.0255,0.021
rl3,cenario1_tempo_fixo/310s_10percent,11,21,12,50,9,11,0.4286,0.0409,0.042
rl3,cenario1_tempo_fixo/310s_10percent,12,12,12,57,11,1,0.9167,0.0393,0.018
rl3,cenario1_tempo_fixo/310s_10percent,13,16,12,58,10,5,0.625,0.0192,0.018
rl3,cenario1_tempo_fixo/310s_10percent,14,12,12,57,11,1,0.9167,0.0213,0.018
rl3,cenario1_tempo_fixo/310s_10percent,15,12,12,53,11,1,0.9167,0.0309,0.024
rl3,cenario1_tempo_fixo/310s_10percent,16,16,12,41,10,5,0.625,0.0213,0.024
rl3,cenario1_tempo_fixo/310s_10percent,17,14,12,46,11,3,0.7857,0.0343,0.0295
rl3,cenario1_tempo_fixo/310s_10percent,18,16,12,53,10,6,0.625,0.0244,0.01
rl3,cenario1_tempo_fixo/310s_10percent,19,12,12,34,11,1,0.9167,0.0455,0.046
rl3,cenario1_tempo_fixo/310s_10percent,20,12,12,47,11,1,0.9167,0.0127,0.007
rl3,cenario1_tempo_fixo/310s_10percent,21,12,12,30,11,1,0.9167,0.0154,0.012
rl3,cenario1_tempo_fixo/310s_10percent,22,12,12,52,11,1,0.9167,0.0251,0.0205
rl3,cenario1_tempo_fixo/310s_10percent,23,12,12,52,11,1,0.9167,0.0265,0.007
rl3,cenario1_tempo_fixo/310s_10percent,24,11,11,44,11,0,1.0,0.0365,0.047
rl3,cenario1_tempo_fixo/310s_10percent,25,12,12,48,11,1,0.9167,0.0165,0.015
rl3,cenario1_tempo_fixo/310s_10percent,26,16,12,47,10,5,0.625,0.0181,0.023
rl3,cenario1_tempo_fixo/310s_10percent,27,21,12,56,9,11,0.4286,0.0371,0.01
rl3,cenario1_tempo_fixo/310s_10percent,28,21,12,46,9,11,0.4286,0.0334,0.034
rl3,cenario1_tempo_fixo/310s_10percent,29,13,12,53,11,2,0.8462,0.0515,0.05
rl3,cenario1_tempo_fixo/310s_10percent,30,11,11,45,11,0,1.0,0.0075,0.007
rl3,cenario1_tempo_fixo/310s_10percent,31,21,12,39,9,11,0.4286,0.0326,0.013
rl3,cenario1_tempo_fixo/310s_10percent,32,11,11,36,11,0,1.0,0.0132,0.013
rl3,cenario1_tempo_fixo/310s_10percent,33,12,12,50,11,1,0.9167,0.0296,0.025
rl3,cenario1_tempo_fixo/310s_10percent,34,16,12,53,10,5,0.625,0.034,0.035
rl3,cenario1_tempo_fixo/310s_10percent,35,27,12,68,8,18,0.2963,0.0218,0.0185
rl3,cenario1_tempo_fixo/310s_20percent,1,12,12,39,11,1,0.9167,0.0431,0.036
rl3,cenario1_tempo_fixo/310s_20percent,2,16,12,53,10,5,0.625,0.0351,0.0255
rl3,cenario1_tempo_fixo/310s_20percent,3,16,12,51,10,5,0.625,0.0159,0.014
