approach,scenario,run,state,state_name,action,action_name,qvalue
rl1,cenario1_tempo_fixo/310s_10percent,12,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,40.4707
rl1,cenario1_tempo_fixo/310s_10percent,12,1,SIMILARITY_HIGH,1,ALLOCATE,90.48
rl1,cenario1_tempo_fixo/310s_10percent,13,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,13,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,13,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,47.517
rl1,cenario1_tempo_fixo/310s_10percent,13,1,SIMILARITY_HIGH,1,ALLOCATE,92.2135
rl1,cenario1_tempo_fixo/310s_10percent,14,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,14,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,14,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,47.517
rl1,cenario1_tempo_fixo/310s_10percent,14,1,SIMILARITY_HIGH,1,ALLOCATE,93.567
rl1,cenario1_tempo_fixo/310s_10percent,15,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,15,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,15,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,47.517
rl1,cenario1_tempo_fixo/310s_10percent,15,1,SIMILARITY_HIGH,1,ALLOCATE,94.064
rl1,cenario1_tempo_fixo/310s_10percent,16,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,16,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,16,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,47.517
rl1,cenario1_tempo_fixo/310s_10percent,16,1,SIMILARITY_HIGH,1,ALLOCATE,95.0463
rl1,cenario1_tempo_fixo/310s_10percent,17,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,17,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,17,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,47.517
rl1,cenario1_tempo_fixo/310s_10percent,17,1,SIMILARITY_HIGH,1,ALLOCATE,95.7821
rl1,cenario1_tempo_fixo/310s_10percent,18,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,18,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,18,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,50.9079
rl1,cenario1_tempo_fixo/310s_10percent,18,1,SIMILARITY_HIGH,1,ALLOCATE,96.1469
rl1,cenario1_tempo_fixo/310s_10percent,19,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,19,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,19,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,50.9079
rl1,cenario1_tempo_fixo/310s_10percent,19,1,SIMILARITY_HIGH,1,ALLOCATE,96.3357
rl1,cenario1_tempo_fixo/310s_10percent,20,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,20,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,20,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,61.6404
rl1,cenario1_tempo_fixo/310s_10percent,20,1,SIMILARITY_HIGH,1,ALLOCATE,97.121
rl1,cenario1_tempo_fixo/310s_10percent,21,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,21,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,21,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,63.7198
rl1,cenario1_tempo_fixo/310s_10percent,21,1,SIMILARITY_HIGH,1,ALLOCATE,97.8489
rl1,cenario1_tempo_fixo/310s_10percent,22,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,22,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,22,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,65.6656
rl1,cenario1_tempo_fixo/310s_10percent,22,1,SIMILARITY_HIGH,1,ALLOCATE,98.2929
rl1,cenario1_tempo_fixo/310s_10percent,23,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,23,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,23,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,65.6656
rl1,cenario1_tempo_fixo/310s_10percent,23,1,SIMILARITY_HIGH,1,ALLOCATE,98.2929
rl1,cenario1_tempo_fixo/310s_10percent,24,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,24,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,24,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,71.8442
rl1,cenario1_tempo_fixo/310s_10percent,24,1,SIMILARITY_HIGH,1,ALLOCATE,98.6855
rl1,cenario1_tempo_fixo/310s_10percent,25,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,25,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,25,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,77.5249
rl1,cenario1_tempo_fixo/310s_10percent,25,1,SIMILARITY_HIGH,1,ALLOCATE,99.0374
rl1,cenario1_tempo_fixo/310s_10percent,26,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,26,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,26,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,78.1866
rl1,cenario1_tempo_fixo/310s_10percent,26,1,SIMILARITY_HIGH,1,ALLOCATE,99.1118
rl1,cenario1_tempo_fixo/310s_10percent,27,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,27,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,27,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,78.1866
rl1,cenario1_tempo_fixo/310s_10percent,27,1,SIMILARITY_HIGH,1,ALLOCATE,99.2361
