approach,scenario,run,total_clusters,clusters_apt,clusters_idle,orphan_total,orphan_percentage
rl3,cenario2_tempo_aleatorio/180-600s_30percent,31,14,12,2,49,24.5
rl3,cenario2_tempo_aleatorio/180-600s_30percent,32,19,11,8,42,21.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,33,18,12,6,20,10.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,34,22,21,1,42,21.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,35,21,12,9,65,32.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,1,16,14,2,37,18.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,2,20,17,3,33,16.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,3,18,12,6,2,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,4,17,12,5,31,15.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,5,22,17,5,32,16.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,6,14,10,4,10,5.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,7,22,15,7,14,7.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,8,16,12,4,45,22.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,9,20,11,9,33,16.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,10,25,11,14,42,21.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,11,23,12,11,3,1.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,12,22,9,13,25,12.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,13,20,14,6,6,3.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,14,18,14,4,58,29.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,15,19,13,6,12,6.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,16,19,12,7,20,10.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,17,23,14,9,23,11.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,18,30,19,11,39,19.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,19,17,10,7,25,12.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,20,16,9,7,32,16.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,21,21,12,9,29,14.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,22,21,18,3,31,15.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,23,21,17,4,68,34.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,24,25,14,11,23,11.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,25,19,7,12,31,15.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,26,22,13,9,45,22.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,27,26,19,7,25,12.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,28,21,10,11,15,7.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,29,15,8,7,24,12.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,30,18,14,4,53,26.5
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,31,22,16,6,38,19.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,32,17,9,8,48,24.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,33,16,9,7,24,12.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,34,18,11,7,52,26.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,35,22,13,9,32,16.0
intuitive,cenario1_tempo_fixo/310s_10percent,1,20,13,7,24,12.0
intuitive,cenario1_tempo_fixo/310s_10percent,2,19,14,5,22,11.0
intuitive,cenario1_tempo_fixo/310s_10percent,3,16,12,4,7,3.5
intuitive,cenario1_tempo_fixo/310s_10percent,4,22,12,10,21,10.5
intuitive,cenario1_tempo_fixo/310s_10percent,5,16,13,3,30,15.0
intuitive,cenario1_tempo_fixo/310s_10percent,6,49,30,19,35,17.5
intuitive,cenario1_tempo_fixo/310s_10percent,7,21,11,10,9,4.5
