approach,scenario,run,total_clusters,clusters_apt,clusters_idle,orphan_total,orphan_percentage
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,24,14,11,3,30,15.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,25,14,11,3,41,20.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,26,18,11,7,40,20.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,27,13,7,6,18,9.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,28,78,68,10,174,87.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,29,16,10,6,25,12.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,30,18,9,9,45,22.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,31,16,14,2,51,25.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,32,18,13,5,30,15.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,33,21,13,8,15,7.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,34,112,77,35,309,154.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,35,17,10,7,38,19.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,1,22,18,4,50,25.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,2,17,12,5,21,10.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,3,14,11,3,31,15.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,4,19,10,9,50,25.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,5,18,11,7,42,21.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,6,38,30,8,123,61.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,7,14,9,5,55,27.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,8,19,15,4,71,35.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,9,16,10,6,40,20.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,10,19,13,6,60,30.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,11,67,56,11,184,92.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,12,17,13,4,43,21.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,13,20,14,6,46,23.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,14,14,10,4,65,32.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,15,17,11,6,43,21.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,16,16,8,8,29,14.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,17,21,12,9,53,26.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,18,21,11,10,36,18.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,19,14,6,8,46,23.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,20,20,9,11,45,22.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,21,16,11,5,50,25.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,22,17,13,4,45,22.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,23,15,6,9,46,23.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,24,19,10,9,68,34.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,25,16,9,7,70,35.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,26,17,12,5,68,34.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,27,21,14,7,60,30.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,28,85,59,26,181,90.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,29,19,9,10,54,27.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,30,13,8,5,38,19.0
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,31,17,9,8,43,21.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,32,13,7,6,41,20.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,33,20,15,5,41,20.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,34,16,6,10,41,20.5
intuitive,cenario2_tempo_aleatorio/180-600s_30percent,35,19,14,5,18,9.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,1,19,15,4,33,16.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,2,18,13,5,77,38.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,3,12,8,4,24,12.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,4,18,16,2,42,21.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,5,19,12,7,17,8.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,6,48,44,4,67,33.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,7,17,12,5,40,20.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,8,22,15,7,16,8.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,9,20,13,7,63,31.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,10,19,12,7,33,16.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,11,68,57,11,127,63.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,12,17,14,3,29,14.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,13,32,23,9,78,39.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,14,15,14,1,69,34.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,15,16,8,8,45,22.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,16,13,8,5,43,21.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,17,19,8,11,11,5.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,18,15,10,5,16,8.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,19,16,9,7,57,28.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,20,17,11,6,26,13.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,21,16,10,6,39,19.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,22,17,11,6,22,11.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,23,17,11,6,37,18.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,24,22,19,3,113,56.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,25,19,14,5,78,39.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,26,19,14,5,44,22.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,27,16,11,5,25,12.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,28,100,67,33,116,58.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,29,18,10,8,23,11.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,30,17,10,7,44,22.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,31,20,15,5,56,28.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,32,17,13,4,24,12.0
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,33,18,11,7,47,23.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,34,13,9,4,7,3.5
intuitive,cenario3_tudo_aleatorio/180-600s_10-30percent,35,14,10,4,17,8.5
rl3.1,cenario1_tempo_fixo/310s_10percent,1,18,11,7,30,15.0
rl3.1,cenario1_tempo_fixo/310s_10percent,2,26,19,7,31,15.5
rl3.1,cenario1_tempo_fixo/310s_10percent,3,16,12,4,18,9.0
rl3.1,cenario1_tempo_fixo/310s_10percent,4,26,24,2,18,9.0
rl3.1,cenario1_tempo_fixo/310s_10percent,5,21,13,8,1,0.5
rl3.1,cenario1_tempo_fixo/310s_10percent,6,23,21,2,26,13.0
rl3.1,cenario1_tempo_fixo/310s_10percent,7,14,9,5,23,11.5
rl3.1,cenario1_tempo_fixo/310s_10percent,8,17,13,4,7,3.5
rl3.1,cenario1_tempo_fixo/310s_10percent,9,19,16,3,27,13.5
rl3.1,cenario1_tempo_fixo/310s_10percent,10,16,11,5,21,10.5
rl3.1,cenario1_tempo_fixo/310s_10percent,11,15,10,5,33,16.5
rl3.1,cenario1_tempo_fixo/310s_10percent,12,19,13,6,21,10.5
rl3.1,cenario1_tempo_fixo/310s_10percent,13,26,18,8,26,13.0
rl3.1,cenario1_tempo_fixo/310s_10percent,14,26,17,9,37,18.5
rl3.1,cenario1_tempo_fixo/310s_10percent,15,26,19,7,25,12.5
rl3.1,cenario1_tempo_fixo/310s_10percent,16,18,12,6,18,9.0
rl3.1,cenario1_tempo_fixo/310s_10percent,17,20,15,5,7,3.5
rl3.1,cenario1_tempo_fixo/310s_10percent,18,23,16,7,18,9.0
rl3.1,cenario1_tempo_fixo/310s_10percent,19,15,13,2,13,6.5
rl3.1,cenario1_tempo_fixo/310s_10percent,20,20,13,7,19,9.5
rl3.1,cenario1_tempo_fixo/310s_10percent,21,19,14,5,32,16.0
rl3.1,cenario1_tempo_fixo/310s_10percent,22,21,16,5,37,18.5
rl3.1,cenario1_tempo_fixo/310s_10percent,23,19,14,5,5,2.5
rl3.1,cenario1_tempo_fixo/310s_10percent,24,17,13,4,28,14.0
rl3.1,cenario1_tempo_fixo/310s_10percent,25,21,13,8,19,9.5
rl3.1,cenario1_tempo_fixo/310s_10percent,26,21,19,2,29,14.5
rl3.1,cenario1_tempo_fixo/310s_10percent,27,23,17,6,20,10.0
rl3.1,cenario1_tempo_fixo/310s_10percent,28,18,11,7,1,0.5
rl3.1,cenario1_tempo_fixo/310s_10percent,29,24,14,10,24,12.0
rl3.1,cenario1_tempo_fixo/310s_10percent,30,24,18,6,29,14.5
rl3.1,cenario1_tempo_fixo/310s_10percent,31,20,7,13,12,6.0
rl3.1,cenario1_tempo_fixo/310s_10percent,32,16,7,9,13,6.5
rl3.1,cenario1_tempo_fixo/310s_10percent,33,18,12,6,19,9.5
rl3.1,cenario1_tempo_fixo/310s_10percent,34,14,13,1,12,6.0
rl3.1,cenario1_tempo_fixo/310s_10percent,35,15,12,3,17,8.5
rl3.1,cenario1_tempo_fixo/310s_20percent,1,17,17,0,22,11.0
rl3.1,cenario1_tempo_fixo/310s_20percent,2,18,11,7,50,25.0
rl3.1,cenario1_tempo_fixo/310s_20percent,3,24,12,12,21,10.5
rl3.1,cenario1_tempo_fixo/310s_20percent,4,20,11,9,27,13.5
rl3.1,cenario1_tempo_fixo/310s_20percent,5,18,11,7,60,30.0
rl3.1,cenario1_tempo_fixo/310s_20percent,6,21,14,7,16,8.0
rl3.1,cenario1_tempo_fixo/310s_20percent,7,20,15,5,54,27.0
rl3.1,cenario1_tempo_fixo/310s_20percent,8,25,20,5,38,19.0
rl3.1,cenario1_tempo_fixo/310s_20percent,9,21,11,10,37,18.5
rl3.1,cenario1_tempo_fixo/310s_20percent,10,27,19,8,23,11.5
rl3.1,cenario1_tempo_fixo/310s_20percent,11,22,17,5,21,10.5
rl3.1,cenario1_tempo_fixo/310s_20percent,12,27,10,17,15,7.5
rl3.1,cenario1_tempo_fixo/310s_20percent,13,19,13,6,22,11.0
rl3.1,cenario1_tempo_fixo/310s_20percent,14,21,18,3,22,11.0
rl3.1,cenario1_tempo_fixo/310s_20percent,15,14,9,5,28,14.0
rl3.1,cenario1_tempo_fixo/310s_20percent,16,22,21,1,52,26.0
rl3.1,cenario1_tempo_fixo/310s_20percent,17,17,12,5,25,12.5
rl3.1,cenario1_tempo_fixo/310s_20percent,18,16,8,8,26,13.0
rl3.1,cenario1_tempo_fixo/310s_20percent,19,15,9,6,16,8.0
rl3.1,cenario1_tempo_fixo/310s_20percent,20,26,19,7,25,12.5
rl3.1,cenario1_tempo_fixo/310s_20percent,21,18,10,8,25,12.5
rl3.1,cenario1_tempo_fixo/310s_20percent,22,20,13,7,33,16.5
rl3.1,cenario1_tempo_fixo/310s_20percent,23,19,11,8,15,7.5
rl3.1,cenario1_tempo_fixo/310s_20percent,24,21,17,4,21,10.5
rl3.1,cenario1_tempo_fixo/310s_20percent,25,21,12,9,20,10.0
rl3.1,cenario1_tempo_fixo/310s_20percent,26,17,13,4,23,11.5
rl3.1,cenario1_tempo_fixo/310s_20percent,27,27,16,11,32,16.0
rl3.1,cenario1_tempo_fixo/310s_20percent,28,24,11,13,38,19.0
rl3.1,cenario1_tempo_fixo/310s_20percent,29,17,10,7,30,15.0
rl3.1,cenario1_tempo_fixo/310s_20percent,30,18,9,9,24,12.0
rl3.1,cenario1_tempo_fixo/310s_20percent,31,24,15,9,11,5.5
rl3.1,cenario1_tempo_fixo/310s_20percent,32,24,13,11,2,1.0
rl3.1,cenario1_tempo_fixo/310s_20percent,33,21,12,9,18,9.0
rl3.1,cenario1_tempo_fixo/310s_20percent,34,21,11,10,56,28.0
rl3.1,cenario1_tempo_fixo/310s_20percent,35,21,16,5,33,16.5
rl3.1,cenario1_tempo_fixo/310s_30percent,1,17,15,2,31,15.5
rl3.1,cenario1_tempo_fixo/310s_30percent,2,24,13,11,20,10.0
rl3.1,cenario1_tempo_fixo/310s_30percent,3,22,13,9,56,28.0
rl3.1,cenario1_tempo_fixo/310s_30percent,4,19,11,8,19,9.5
rl3.1,cenario1_tempo_fixo/310s_30percent,5,21,19,2,50,25.0
rl3.1,cenario1_tempo_fixo/310s_30percent,6,26,14,12,31,15.5
rl3.1,cenario1_tempo_fixo/310s_30percent,7,20,13,7,28,14.0
rl3.1,cenario1_tempo_fixo/310s_30percent,8,24,21,3,23,11.5
rl3.1,cenario1_tempo_fixo/310s_30percent,9,14,13,1,48,24.0
rl3.1,cenario1_tempo_fixo/310s_30percent,10,17,8,9,32,16.0
rl3.1,cenario1_tempo_fixo/310s_30percent,11,19,14,5,17,8.5
rl3.1,cenario1_tempo_fixo/310s_30percent,12,24,18,6,34,17.0
rl3.1,cenario1_tempo_fixo/310s_30percent,13,19,16,3,60,30.0
rl3.1,cenario1_tempo_fixo/310s_30percent,14,26,17,9,59,29.5
rl3.1,cenario1_tempo_fixo/310s_30percent,15,20,13,7,27,13.5
rl3.1,cenario1_tempo_fixo/310s_30percent,16,18,9,9,52,26.0
rl3.1,cenario1_tempo_fixo/310s_30percent,17,17,11,6,29,14.5
rl3.1,cenario1_tempo_fixo/310s_30percent,18,16,12,4,22,11.0
rl3.1,cenario1_tempo_fixo/310s_30percent,19,22,18,4,45,22.5
rl3.1,cenario1_tempo_fixo/310s_30percent,20,23,13,10,54,27.0
rl3.1,cenario1_tempo_fixo/310s_30percent,21,21,16,5,57,28.5
rl3.1,cenario1_tempo_fixo/310s_30percent,22,20,11,9,45,22.5
rl3.1,cenario1_tempo_fixo/310s_30percent,23,23,20,3,26,13.0
rl3.1,cenario1_tempo_fixo/310s_30percent,24,17,13,4,65,32.5
rl3.1,cenario1_tempo_fixo/310s_30percent,25,18,14,4,27,13.5
rl3.1,cenario1_tempo_fixo/310s_30percent,26,21,14,7,31,15.5
rl3.1,cenario1_tempo_fixo/310s_30percent,27,21,15,6,25,12.5
rl3.1,cenario1_tempo_fixo/310s_30percent,28,19,13,6,38,19.0
rl3.1,cenario1_tempo_fixo/310s_30percent,29,22,13,9,36,18.0
rl3.1,cenario1_tempo_fixo/310s_30percent,30,19,12,7,58,29.0
rl3.1,cenario1_tempo_fixo/310s_30percent,31,16,12,4,38,19.0
rl3.1,cenario1_tempo_fixo/310s_30percent,32,18,7,11,27,13.5
rl3.1,cenario1_tempo_fixo/310s_30percent,33,22,19,3,37,18.5
rl3.1,cenario1_tempo_fixo/310s_30percent,34,17,12,5,60,30.0
rl3.1,cenario1_tempo_fixo/310s_30percent,35,21,9,12,11,5.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,1,17,13,4,16,8.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,2,20,16,4,23,11.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,3,18,13,5,25,12.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,4,21,10,11,7,3.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,5,21,16,5,8,4.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,6,23,16,7,23,11.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,7,26,22,4,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,8,20,14,6,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,9,24,19,5,26,13.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,10,22,13,9,12,6.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,11,18,15,3,33,16.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,12,24,17,7,24,12.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,13,16,10,6,14,7.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,14,23,11,12,37,18.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,15,19,13,6,7,3.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,16,17,12,5,23,11.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,17,21,13,8,20,10.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,18,22,9,13,19,9.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,19,20,17,3,22,11.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,20,20,12,8,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,21,24,15,9,4,2.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,22,25,20,5,20,10.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,23,19,15,4,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,24,19,12,7,25,12.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,25,24,13,11,10,5.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,26,24,13,11,9,4.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,27,18,13,5,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,28,19,17,2,23,11.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,29,23,15,8,20,10.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,30,17,11,6,33,16.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,31,19,12,7,15,7.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,32,19,10,9,10,5.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,33,22,16,6,18,9.0
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,34,17,15,2,27,13.5
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,35,26,13,13,19,9.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,1,19,9,10,33,16.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,2,22,16,6,48,24.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,3,23,12,11,33,16.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,4,13,8,5,26,13.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,5,26,23,3,14,7.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,6,18,15,3,42,21.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,7,18,14,4,17,8.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,8,29,17,12,32,16.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,9,18,11,7,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,10,19,14,5,18,9.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,11,24,20,4,41,20.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,12,22,18,4,54,27.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,13,23,8,15,15,7.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,14,24,17,7,24,12.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,15,23,14,9,53,26.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,16,21,11,10,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,17,20,9,11,27,13.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,18,22,12,10,51,25.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,19,17,13,4,21,10.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,20,23,12,11,24,12.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,21,20,10,10,47,23.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,22,17,12,5,50,25.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,23,18,10,8,13,6.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,24,16,10,6,25,12.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,25,18,12,6,34,17.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,26,22,16,6,54,27.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,27,16,10,6,14,7.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,28,19,14,5,35,17.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,29,16,10,6,50,25.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,30,17,14,3,38,19.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,31,20,14,6,21,10.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,32,20,14,6,32,16.0
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,33,21,18,3,31,15.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,34,23,11,12,23,11.5
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,35,20,10,10,19,9.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,1,15,8,7,22,11.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,2,22,9,13,60,30.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,3,22,11,11,46,23.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,4,20,15,5,31,15.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,5,18,10,8,34,17.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,6,20,13,7,21,10.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,7,16,12,4,60,30.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,8,20,15,5,18,9.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,9,18,9,9,28,14.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,10,19,15,4,19,9.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,11,21,12,9,23,11.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,12,26,22,4,8,4.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,13,15,12,3,54,27.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,14,20,14,6,72,36.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,15,25,16,9,56,28.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,16,19,15,4,33,16.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,17,20,15,5,29,14.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,18,17,15,2,40,20.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,19,22,13,9,43,21.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,20,18,16,2,69,34.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,21,21,17,4,76,38.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,22,19,13,6,68,34.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,23,19,11,8,34,17.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,24,23,13,10,15,7.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,25,22,16,6,67,33.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,26,18,11,7,45,22.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,27,23,15,8,56,28.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,28,17,12,5,44,22.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,29,19,9,10,21,10.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,30,19,11,8,16,8.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,31,17,16,1,53,26.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,32,24,23,1,64,32.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,33,18,12,6,29,14.5
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,34,19,13,6,22,11.0
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,35,18,14,4,71,35.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,1,20,15,5,21,10.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,2,19,11,8,37,18.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,3,16,10,6,25,12.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,4,15,13,2,19,9.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,5,19,16,3,12,6.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,6,19,10,9,24,12.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,7,23,17,6,36,18.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,8,18,13,5,21,10.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,9,13,9,4,23,11.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,10,18,13,5,22,11.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,11,16,17,0,19,9.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,12,20,15,5,18,9.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,13,18,13,5,21,10.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,14,22,18,4,38,19.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,15,29,23,6,39,19.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,16,20,17,3,6,3.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,17,15,8,7,31,15.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,18,20,15,5,27,13.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,19,22,16,6,50,25.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,20,21,12,9,37,18.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,21,22,15,7,43,21.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,22,20,8,12,16,8.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,23,25,18,7,33,16.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,24,15,11,4,30,15.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,25,25,16,9,33,16.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,26,20,19,1,29,14.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,27,24,14,10,48,24.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,28,17,12,5,30,15.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,29,20,15,5,20,10.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,30,19,8,11,15,7.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,31,21,14,7,5,2.5
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,32,25,15,10,28,14.0
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,33,27,17,10,12,6.0
