approach,scenario,n_runs,clusters_mean,clusters_ci95,clusters_apt_mean,clusters_apt_ci95,orphans_mean,orphans_ci95,tasks_dispatched_mean,tasks_dispatched_ci95,tasks_success_rate_mean,tasks_success_rate_ci95,accept_latency_mean,accept_latency_ci95,realloc_success_mean,realloc_success_ci95,realloc_rate_mean,realloc_rate_median,realloc_rate_ci95,new_clusters_mean,new_clusters_ci95,connectivity_index_mean,connectivity_index_ci95
rl3.1,cenario1_tempo_fixo/310s_10percent,35,19.83,1.28,14.14,1.29,20.46,3.25,14.43,1.5,0.7845,0.0774,0.0249,0.0029,19.89,3.21,0.9192,1.0,0.0798,0.83,0.13,0.9192,0.0798
rl3.1,cenario1_tempo_fixo/310s_20percent,35,20.66,1.18,13.31,1.2,28.03,4.56,16.77,2.24,0.6863,0.093,0.027,0.0028,26.6,4.43,0.9468,0.9545,0.015,0.17,0.13,0.9468,0.015
rl3.1,cenario1_tempo_fixo/310s_30percent,35,20.09,1.0,13.74,1.13,37.66,5.07,16.14,2.08,0.7167,0.0938,0.0259,0.0028,36.23,4.96,0.9618,0.963,0.0105,0.77,0.28,0.9618,0.0105
rl3.1,cenario2_tempo_aleatorio/180-600s_10percent,35,20.77,0.96,14.03,1.0,20.34,2.85,13.43,1.33,0.8467,0.0724,0.0275,0.0045,19.54,2.86,0.9476,0.9643,0.0238,0.83,0.13,0.9476,0.0238
rl3.1,cenario2_tempo_aleatorio/180-600s_20percent,35,20.2,1.11,13.09,1.2,31.86,4.41,17.31,2.42,0.6752,0.0981,0.0615,0.049,30.17,4.21,0.9469,0.96,0.0185,0.17,0.13,0.9469,0.0185
rl3.1,cenario2_tempo_aleatorio/180-600s_30percent,35,19.69,0.9,13.51,1.11,41.34,6.8,15.94,1.89,0.7176,0.0886,0.0277,0.0074,39.57,6.55,0.9599,0.9565,0.0124,1.0,0.36,0.9599,0.0124
rl3.1,cenario3_tudo_aleatorio/180-600s_10-30percent,35,19.89,1.27,13.97,1.17,25.91,3.76,14.14,1.5,0.801,0.0749,0.0224,0.0024,25.03,3.61,0.9689,0.9697,0.0107,1.34,0.17,0.9689,0.0107
with-fail,cenario1_tempo_fixo/310s_10percent,35,20.31,1.13,12.69,1.11,20.89,3.98,16.89,1.73,0.6537,0.082,0.049,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with-fail,cenario1_tempo_fixo/310s_20percent,35,19.29,0.66,13.17,1.03,34.6,4.72,19.71,2.62,0.5651,0.087,0.0297,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with-fail,cenario1_tempo_fixo/310s_30percent,35,19.26,0.82,11.77,0.93,50.37,5.55,20.26,2.51,0.5436,0.0882,0.0383,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with-fail,cenario2_tempo_aleatorio/180-600s_10percent,35,19.97,0.9,12.43,1.01,21.26,3.5,18.31,2.56,0.6379,0.0997,0.0348,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with-fail,cenario2_tempo_aleatorio/180-600s_20percent,35,20.29,0.97,11.63,1.0,36.46,6.37,19.94,2.57,0.5673,0.0977,0.0461,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with-fail,cenario2_tempo_aleatorio/180-600s_30percent,35,19.6,1.1,12.37,0.98,51.43,6.24,19.57,2.44,0.5629,0.0892,0.0313,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with-fail,cenario3_tudo_aleatorio/180-600s_10-30percent,35,19.03,0.87,12.37,0.83,35.91,7.32,18.2,2.98,0.6611,0.1025,0.0561,0.0498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optimal,sem_falha,35,20.17,1.17,13.17,1.25,0.0,0.0,15.89,1.86,0.715,0.0836,0.0495,0.0328,,,,,,,,,
