rodada,porcentagem_falha,total_clusters,clusters_aptos,clusters_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos
1,30,20,8,12,12,7,0.5482,2,29
2,30,15,9,6,12,11,0.7094,2,43
3,30,16,8,8,12,7,0.6508,2,39
4,30,25,9,16,12,7,0.999,3,65
5,30,18,11,7,12,11,0.6499,3,74
6,30,17,11,6,12,8,0.2176,3,52
7,30,21,7,14,12,10,1.1622,2,41
8,30,17,12,5,12,11,0.8372,2,36
9,30,19,13,6,12,6,1.0091,3,63
10,30,18,10,8,12,8,0.5155,2,49
11,30,20,13,7,12,11,0.862,2,48
12,30,21,14,7,12,9,1.907,3,62
13,30,15,11,4,12,7,0.4685,2,29
14,30,22,11,11,12,9,1.2899,3,67
15,30,19,11,8,12,10,1.3169,2,35
16,30,19,9,10,12,10,1.2248,2,36
17,30,20,12,8,12,9,0.9888,3,73
18,30,19,14,5,12,10,1.1959,3,63
19,30,17,8,9,12,8,0.5614,3,63
20,30,20,13,7,11,11,1.6988,3,58
21,30,20,11,9,12,8,0.7275,2,47
22,30,16,12,4,12,9,1.501,3,48
23,30,17,10,7,12,8,0.0675,2,40
24,30,20,13,7,12,11,0.9748,4,102
25,30,19,10,9,12,11,1.3735,3,38
26,30,20,10,10,12,9,0.9354,2,43
27,30,24,20,4,12,10,1.1629,3,57
28,30,21,9,12,12,10,1.3722,2,33
29,30,22,16,6,12,11,0.7014,3,54
30,30,23,11,12,12,11,0.6754,3,66
31,30,18,12,6,12,10,0.8636,2,30
32,30,17,13,4,12,9,0.7225,3,52
33,30,18,12,6,12,9,1.6159,3,62
34,30,22,16,6,12,10,0.8296,3,37
35,30,19,13,6,12,9,0.8537,2,29
