rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha,tempo_recuperacao,realocacoes_sucesso,realocacoes_falha,taxa_realocacao
1,21,14,7,11,11,1.4936,1,12,503.078,10.0,1.0,11,1,91.67
2,16,11,5,12,10,0.8537,1,18,434.614,10.0,1.0,18,0,100.0
3,22,11,11,12,11,1.2656,1,26,462.043,10.0,1.0,25,1,96.15
4,19,10,9,12,8,0.2679,1,8,355.475,10.0,1.0,7,1,87.5
5,17,9,8,12,11,0.8814,1,12,303.722,10.0,1.0,12,0,100.0
6,24,15,9,12,11,1.4582,1,27,293.916,10.0,1.0,24,3,88.89
7,24,15,9,12,9,0.084,1,14,450.87,10.0,1.0,13,1,92.86
8,22,12,10,12,10,1.2592,1,28,379.352,10.0,1.0,25,3,89.29
9,19,15,4,12,9,0.9219,1,10,298.249,10.0,1.0,9,1,90.0
10,20,15,5,12,11,1.1266,1,8,448.418,10.0,1.0,8,0,100.0
11,19,11,8,12,7,0.1853,1,31,583.065,10.0,1.0,29,2,93.55
12,23,15,8,12,11,0.5977,1,15,358.856,10.0,1.0,15,0,100.0
13,17,13,4,11,11,0.6691,1,9,184.424,10.0,1.0,9,0,100.0
14,18,15,3,12,10,0.7254,1,31,221.659,10.0,1.0,29,2,93.55
15,15,8,7,12,8,0.4098,1,16,580.618,10.0,1.0,16,0,100.0
16,17,14,3,12,10,0.3086,1,26,230.03,10.0,1.0,24,2,92.31
17,25,13,12,12,11,1.0793,1,17,499.212,10.0,1.0,17,0,100.0
18,20,12,8,11,11,1.2636,1,22,350.235,10.0,1.0,20,2,90.91
19,19,11,8,12,7,0.8079,1,13,444.348,10.0,1.0,12,1,92.31
20,22,13,9,11,11,0.6887,1,30,417.585,10.0,1.0,28,2,93.33
21,19,15,4,12,8,1.1089,1,17,544.552,10.0,1.0,17,0,100.0
22,16,7,9,12,7,0.1681,1,20,197.188,10.0,1.0,18,2,90.0
23,17,11,6,11,11,0.5227,1,28,252.009,10.0,1.0,26,2,92.86
24,18,11,7,12,11,1.5317,1,8,501.936,10.0,1.0,7,1,87.5
25,16,10,6,12,11,0.5359,1,29,589.262,10.0,1.0,26,3,89.66
26,21,13,8,12,11,0.942,1,25,478.573,10.0,1.0,25,0,100.0
27,20,11,9,12,10,1.4212,1,32,464.223,10.0,1.0,31,1,96.88
28,21,13,8,12,10,0.7744,1,20,596.085,10.0,1.0,20,0,100.0
29,23,12,11,11,11,1.4547,1,34,469.819,10.0,1.0,34,0,100.0
30,18,14,4,12,11,0.5611,1,11,368.293,10.0,1.0,10,1,90.91
31,28,23,5,12,11,1.5613,1,25,357.054,10.0,1.0,22,3,88.0
32,19,11,8,12,11,0.6821,1,23,303.755,10.0,1.0,22,1,95.65
33,21,13,8,12,8,1.2578,1,12,526.623,10.0,1.0,11,1,91.67
34,21,13,8,12,11,1.7935,1,30,308.198,10.0,1.0,30,0,100.0
35,27,10,17,12,8,0.7264,1,25,521.458,10.0,1.0,23,2,92.0
