state,action,qvalue
0,0,47.8946
0,1,70.0244
0,2,81.5083
1,0,-0.5
1,1,1.3
1,2,-1
2,0,1.83533
2,1,33.4171
2,2,4.90055
3,0,0
3,1,0
3,2,0
