1801415202+60+2+0,1,2,3,5
550508317+60+2+0,1,2,3,4
1590635997+60+3+0,1,2,3,6
1590011656+60+1+0,1,2,4,5,6
325147936+60+3+0,1,2,4,5,6
1439735943+60+3+0,1,2,3,4,6
2138893241+60+3+0,1,2,3,5,6
1783320922+60+3+0,1,2,3,5,6
2040853200+60+2+0,1,2,4,5,6
642903793+60+2+0,1,2,4,5,6
700305500+60+3+0,1,2,4,5,6
417345356+60+1+0,1,2,3,4,5
