rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,media_latencia_aceite,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha
1,22,12,10,12,8,183.3875833333333,1,28,321.173,10.0
2,23,15,8,12,11,2.7749999999999937,1,21,313.764,10.0
3,22,14,8,12,10,63.82474999999999,1,6,364.336,10.0
4,17,7,10,12,7,284.16891666666663,1,20,258.599,10.0
5,21,11,10,12,6,220.08550000000002,1,10,199.001,10.0
6,20,9,11,11,11,1.033363636363638,1,13,472.726,10.0
7,20,9,11,12,9,108.85241666666667,1,15,324.06,10.0
8,19,16,3,12,10,56.640499999999996,1,23,226.591,10.0
9,15,10,5,12,9,72.98841666666667,1,16,556.549,10.0
10,19,12,7,11,11,1.9269999999999847,2,51,390.157,10.0
11,17,11,6,12,7,183.65183333333326,1,20,266.817,10.0
12,24,16,8,11,11,2.4790909090908997,2,42,438.985,10.0
13,20,8,12,12,9,139.15150000000003,1,19,578.504,10.0
14,22,15,7,12,10,54.35591666666665,2,38,447.388,10.0
15,21,12,9,11,11,3.006818181818181,1,13,440.761,10.0
16,23,12,11,12,11,3.097500000000006,1,18,397.223,10.0
17,19,12,7,12,9,69.19608333333333,1,30,435.191,10.0
18,22,18,4,12,10,81.10358333333333,1,16,265.076,10.0
19,17,11,6,12,9,101.7260833333333,1,19,335.279,10.0
20,21,15,6,12,9,86.29208333333332,2,34,554.581,10.0
21,19,11,8,11,11,2.4286363636363615,1,25,571.063,10.0
22,17,6,11,12,11,9.010083333333341,1,25,460.968,10.0
23,17,12,5,12,8,137.96841666666663,1,18,208.15,10.0
24,18,11,7,12,10,111.61208333333336,1,6,289.269,10.0
25,20,14,6,11,11,2.6156363636363578,2,34,463.841,10.0
26,19,10,9,12,9,114.41466666666668,1,6,591.942,10.0
27,26,17,9,12,11,77.61908333333332,2,14,497.343,10.0
28,17,13,4,12,10,47.66141666666666,1,12,212.18,10.0
29,21,13,8,11,11,2.0018181818181855,1,21,449.781,10.0
30,22,9,13,12,11,33.253916666666676,1,18,545.191,10.0
31,17,13,4,12,11,3.2506666666666555,1,26,529.052,10.0
32,22,11,11,12,11,2.1810000000000067,2,27,587.967,10.0
33,22,15,7,12,8,127.14872727272727,1,24,212.63,10.0
34,23,10,13,12,7,295.0090833333333,1,10,463.575,10.0
35,15,7,8,12,11,0.46633333333331706,1,26,436.931,10.0
