state,action,qvalue
0,0,45.8167
0,1,63.6481
0,2,53.3006
1,0,-0.5
1,1,0
1,2,0
2,0,2.32582
2,1,20.6136
2,2,1.9679
3,0,0
3,1,0
3,2,0
