54589321+60+1+0,1,2,3,4,5
576099112+60+1+0,1,2,3,5,6
1048932826+60+1+0,1,2,3,4,6
56569878+60+1+0,1,2,3,5,6
1448169999+60+1+0,1,2,3,5,6
685771569+60+1+0,1,2,3,4,5
817393612+60+1+0,1,2,3,5,6
1415664672+60+1+0,1,2,5
1557936078+60+1+0,1,2,3,5,6
659238299+60+1+0,1,2,4,5,6
1479045349+60+1+0,1,2,4,5,6


1835391213+60+1+0,1,2,4,5,6
