state,action,qvalue
0,0,90.2388
0,1,96.9994
0,2,128.88
1,0,0
1,1,1.3
1,2,0
2,0,-0.5
2,1,0.839059
2,2,41.8919
3,0,0
3,1,0
3,2,0
