rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha,tempo_recuperacao,realocacoes_sucesso,realocacoes_falha,taxa_realocacao
1,19,13,6,12,11,1.4292,2,27,310.0,20.0,1.0,24,3,88.89
2,19,10,9,11,11,1.4507,1,17,310.0,20.0,1.0,17,0,100.0
3,21,12,9,12,10,1.7885,1,15,310.0,20.0,1.0,14,1,93.33
4,18,10,8,11,11,0.8991,2,32,310.0,20.0,1.0,31,1,96.88
5,22,13,9,11,11,1.0067,2,22,310.0,20.0,1.0,21,1,95.45
6,20,8,12,12,11,0.3673,1,24,310.0,20.0,1.0,23,1,95.83
7,18,11,7,12,11,0.7398,2,27,310.0,20.0,1.0,24,3,88.89
8,17,14,3,12,11,1.7426,1,17,310.0,20.0,1.0,16,1,94.12
9,17,12,5,12,9,0.101,2,51,310.0,20.0,1.0,48,3,94.12
10,18,9,9,12,11,0.9568,1,17,310.0,20.0,1.0,17,0,100.0
11,18,10,8,12,8,0.6666,2,23,310.0,20.0,1.0,21,2,91.3
12,21,11,10,11,11,1.9508,1,30,310.0,20.0,1.0,29,1,96.67
13,21,14,7,12,11,2.1659,2,35,310.0,20.0,1.0,33,2,94.29
14,19,16,3,12,11,1.0415,2,35,310.0,20.0,1.0,33,2,94.29
15,21,18,3,12,8,0.8963,1,17,310.0,20.0,1.0,16,1,94.12
16,23,12,11,12,11,1.0696,2,43,310.0,20.0,1.0,42,1,97.67
17,15,8,7,12,8,0.2691,1,22,310.0,20.0,1.0,20,2,90.91
18,18,13,5,12,8,0.5239,2,35,310.0,20.0,1.0,34,1,97.14
19,20,13,7,12,11,0.6226,1,32,310.0,20.0,1.0,30,2,93.75
20,18,9,9,12,10,0.3938,1,8,310.0,20.0,1.0,7,1,87.5
21,21,14,7,12,9,1.2521,2,42,310.0,20.0,1.0,42,0,100.0
22,21,11,10,12,7,0.6559,2,27,310.0,20.0,1.0,26,1,96.3
23,18,11,7,11,11,0.3582,2,42,310.0,20.0,1.0,42,0,100.0
24,18,6,12,12,8,0.4068,1,29,310.0,20.0,1.0,27,2,93.1
25,18,11,7,12,11,0.6004,2,40,310.0,20.0,1.0,37,3,92.5
26,22,8,14,12,8,0.4274,1,28,310.0,20.0,1.0,28,0,100.0
27,17,13,4,12,11,0.4553,1,30,310.0,20.0,1.0,28,2,93.33
28,22,13,9,12,9,0.7882,2,12,310.0,20.0,1.0,12,0,100.0
29,22,12,10,12,11,1.1691,1,23,310.0,20.0,1.0,23,0,100.0
30,19,12,7,11,11,1.1922,1,7,310.0,20.0,1.0,7,0,100.0
31,18,13,5,11,11,1.1918,1,32,310.0,20.0,1.0,29,3,90.62
32,17,10,7,11,11,1.4441,1,9,310.0,20.0,1.0,9,0,100.0
33,22,14,8,12,11,2.0314,1,25,310.0,20.0,1.0,25,0,100.0
34,22,17,5,12,11,1.7158,1,27,310.0,20.0,1.0,26,1,96.3
35,20,12,8,12,10,1.2094,1,21,310.0,20.0,1.0,19,2,90.48
