rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha,tempo_recuperacao,realocacoes_sucesso,realocacoes_falha,taxa_realocacao
1,18,10,8,12,7,0.1544,3,84,310.0,30.0,1.0,82,2,97.62
2,15,11,4,12,8,0.4577,3,65,310.0,30.0,1.0,61,4,93.85
3,21,7,14,12,8,0.0876,2,61,310.0,30.0,1.0,60,1,98.36
4,20,14,6,12,9,1.0319,3,51,310.0,30.0,1.0,50,1,98.04
5,18,14,4,12,8,0.7185,2,45,310.0,30.0,1.0,43,2,95.56
6,17,11,6,12,11,1.6174,1,32,310.0,30.0,1.0,30,2,93.75
7,20,14,6,12,10,0.7865,2,36,310.0,30.0,1.0,35,1,97.22
8,19,6,13,12,8,0.6925,1,27,310.0,30.0,1.0,25,2,92.59
9,20,11,9,11,11,1.1077,2,42,310.0,30.0,1.0,37,5,88.1
10,23,14,9,11,11,1.2448,2,31,310.0,30.0,1.0,30,1,96.77
11,23,13,10,12,10,0.4948,2,48,310.0,30.0,1.0,43,5,89.58
12,18,15,3,12,11,1.0834,1,21,310.0,30.0,1.0,16,5,76.19
13,18,8,10,12,7,0.0598,3,68,310.0,30.0,1.0,67,1,98.53
14,15,10,5,11,11,0.8655,2,28,310.0,30.0,1.0,26,2,92.86
15,16,9,7,12,10,0.2801,2,47,310.0,30.0,1.0,45,2,95.74
16,15,12,3,12,9,0.3393,2,39,310.0,30.0,1.0,37,2,94.87
17,19,12,7,12,7,0.9697,2,58,310.0,30.0,1.0,58,0,100.0
18,28,22,6,12,9,1.2524,3,56,310.0,30.0,1.0,54,2,96.43
19,17,7,10,12,8,0.5967,2,49,310.0,30.0,1.0,47,2,95.92
20,20,11,9,12,7,0.0536,2,43,310.0,30.0,1.0,42,1,97.67
21,23,11,12,12,10,0.2049,3,30,310.0,30.0,1.0,30,0,100.0
22,26,18,8,11,11,1.8714,2,27,310.0,30.0,1.0,26,1,96.3
23,24,16,8,11,11,1.2723,2,29,310.0,30.0,1.0,28,1,96.55
24,18,12,6,12,8,0.4234,2,63,310.0,30.0,1.0,60,3,95.24
25,21,12,9,12,10,1.4346,2,29,310.0,30.0,1.0,28,1,96.55
26,18,12,6,12,10,0.3352,1,34,310.0,30.0,1.0,30,4,88.24
27,19,11,8,12,10,1.2932,2,32,310.0,30.0,1.0,31,1,96.88
28,23,15,8,12,5,0.3634,3,56,310.0,30.0,1.0,54,2,96.43
29,21,9,12,12,7,0.1067,2,49,310.0,30.0,1.0,45,4,91.84
30,22,18,4,12,11,1.2817,3,74,310.0,30.0,1.0,64,10,86.49
31,21,16,5,11,11,0.5742,2,20,310.0,30.0,1.0,20,0,100.0
32,19,13,6,12,10,0.9229,2,41,310.0,30.0,1.0,37,4,90.24
33,23,17,6,12,10,1.5084,2,43,310.0,30.0,1.0,42,1,97.67
34,19,10,9,12,11,0.5577,2,49,310.0,30.0,1.0,48,1,97.96
35,17,9,8,12,4,0.0371,2,30,310.0,30.0,1.0,29,1,96.67
