rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha,tempo_recuperacao,realocacoes_sucesso,realocacoes_falha,taxa_realocacao
1,14,13,1,11,11,0.6635,2,20,310.057,20.0,1.0,16,4,80.0
2,20,9,11,11,11,1.3556,1,25,594.125,20.0,1.0,25,0,100.0
3,21,17,4,12,8,0.9661,2,33,190.929,20.0,1.0,31,2,93.94
4,21,11,10,12,11,0.8061,2,37,523.791,20.0,1.0,37,0,100.0
5,19,14,5,12,10,1.0268,1,22,273.548,20.0,1.0,20,2,90.91
6,18,13,5,12,7,0.5954,1,10,231.988,20.0,1.0,10,0,100.0
7,14,7,7,12,8,0.172,1,28,545.496,20.0,1.0,26,2,92.86
8,16,10,6,12,8,0.5483,2,31,414.736,20.0,1.0,29,2,93.55
9,17,12,5,12,10,0.9037,2,53,299.717,20.0,1.0,51,2,96.23
10,20,5,15,12,8,0.3569,1,31,201.78,20.0,1.0,29,2,93.55
11,24,13,11,12,11,0.6382,2,41,388.243,20.0,1.0,41,0,100.0
12,24,11,13,12,11,0.9372,1,22,226.564,20.0,1.0,18,4,81.82
13,26,10,16,12,9,0.2753,1,10,318.501,20.0,1.0,9,1,90.0
14,19,10,9,12,11,1.0148,1,28,246.121,20.0,1.0,28,0,100.0
15,23,8,15,12,10,0.1766,2,30,550.185,20.0,1.0,28,2,93.33
16,16,12,4,12,10,1.0154,2,25,570.0,20.0,1.0,25,0,100.0
17,18,13,5,12,11,1.8802,2,37,441.959,20.0,1.0,33,4,89.19
18,21,15,6,12,11,1.2461,2,44,508.922,20.0,1.0,41,3,93.18
19,22,11,11,12,10,0.202,1,17,378.477,20.0,1.0,17,0,100.0
20,16,10,6,12,11,1.1442,1,27,217.291,20.0,1.0,27,0,100.0
21,17,10,7,12,11,0.7327,1,15,499.928,20.0,1.0,15,0,100.0
22,23,10,13,12,8,0.869,2,44,592.299,20.0,1.0,43,1,97.73
23,20,11,9,12,8,0.7281,1,14,204.013,20.0,1.0,14,0,100.0
24,26,12,14,12,11,0.8125,1,20,211.296,20.0,1.0,20,0,100.0
25,20,12,8,12,11,0.4721,2,29,484.604,20.0,1.0,29,0,100.0
26,25,19,6,12,9,1.4528,1,8,430.997,20.0,1.0,7,1,87.5
27,23,8,15,12,10,0.3475,1,7,242.08,20.0,1.0,6,1,85.71
28,19,9,10,12,7,0.5066,1,26,233.287,20.0,1.0,24,2,92.31
29,20,15,5,12,10,1.0651,2,27,494.448,20.0,1.0,24,3,88.89
30,17,8,9,12,9,0.2673,2,59,306.058,20.0,1.0,54,5,91.53
31,20,11,9,12,10,0.7979,2,51,360.274,20.0,1.0,47,4,92.16
32,15,9,6,12,6,0.2159,2,42,485.799,20.0,1.0,39,3,92.86
33,23,16,7,12,8,1.0283,2,43,392.83,20.0,1.0,42,1,97.67
34,21,10,11,12,11,0.8662,1,32,336.648,20.0,1.0,30,2,93.75
35,19,12,7,11,11,0.8274,1,13,189.803,20.0,1.0,13,0,100.0
