rodada,porcentagem_falha,total_clusters,clusters_aptos,clusters_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos
1,20,18,11,7,12,9,0.7995,2,22
2,20,22,18,4,12,10,1.2268,2,31
3,20,21,13,8,12,7,0.9676,2,28
4,20,19,12,7,12,7,0.8295,2,36
5,20,20,9,11,12,7,1.4099,2,44
6,20,17,11,6,12,10,0.5493,2,44
7,20,17,14,3,12,11,0.4702,2,39
8,20,18,12,6,12,11,0.7834,2,43
9,20,18,11,7,12,10,0.7475,2,23
10,20,21,12,9,12,11,0.6051,3,64
11,20,19,13,6,12,10,1.1477,3,19
12,20,21,16,5,12,10,0.91,3,63
13,20,19,11,8,12,10,1.158,2,43
14,20,17,14,3,12,10,1.4627,2,48
15,20,21,13,8,12,9,1.2413,2,45
16,20,19,13,6,12,10,1.2659,2,36
17,20,20,12,8,12,11,1.0547,1,12
18,20,22,11,11,12,8,0.477,2,19
19,20,20,13,7,12,9,0.1993,1,15
20,20,18,14,4,12,11,0.6778,3,37
21,20,16,9,7,11,11,1.2822,1,24
22,20,18,15,3,12,11,0.9318,2,30
23,20,17,11,6,12,8,1.1817,2,25
24,20,20,13,7,12,6,1.792,2,31
25,20,19,15,4,12,7,1.2311,2,39
26,20,21,9,12,12,10,0.9795,2,29
27,20,21,12,9,12,10,1.5841,2,39
28,20,19,12,7,12,10,0.7143,2,39
29,20,16,7,9,12,9,0.1931,1,28
30,20,21,17,4,12,9,1.375,2,43
31,20,21,14,7,12,9,0.8013,2,22
32,20,21,18,3,12,11,1.5133,2,20
33,20,24,19,5,12,6,1.3181,4,68
34,20,17,11,6,12,11,1.2069,2,46
35,20,17,6,11,12,9,0.4808,1,17
