rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,media_latencia_aceite,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha
1,15,11,4,11,11,1.038636363636357,2,31,458.553,20.0
2,18,10,8,12,10,149.01149999999998,1,15,192.223,20.0
3,19,10,9,12,9,95.31983333333335,2,47,413.777,20.0
4,23,17,6,12,11,2.611333333333325,2,50,355.476,20.0
5,22,10,12,11,11,2.4226363636363715,2,41,463.109,20.0
6,22,14,8,12,10,114.79783333333334,1,14,230.044,20.0
7,15,9,6,12,10,13.99474999999999,1,15,536.303,20.0
8,17,8,9,12,11,2.748583333333343,1,15,394.322,20.0
9,25,14,11,12,9,131.68133333333336,3,81,531.861,20.0
10,19,12,7,12,8,124.90091666666667,2,55,571.528,20.0
11,18,10,8,12,8,112.76733333333334,2,40,233.861,20.0
12,18,11,7,12,8,166.145,2,50,283.454,20.0
13,18,11,7,12,9,78.95558333333331,3,53,581.276,20.0
14,19,9,10,12,7,165.5678333333333,2,27,309.477,20.0
15,21,12,9,12,8,80.48072727272728,1,15,285.738,20.0
16,20,17,3,12,11,39.905583333333325,1,13,197.676,20.0
17,21,9,12,12,7,148.03258333333335,2,26,453.043,20.0
18,16,9,7,12,6,149.76670000000004,2,38,488.046,20.0
19,15,7,8,12,9,148.49558333333334,2,42,451.84,20.0
20,22,8,14,12,8,79.42981818181818,1,16,407.311,20.0
21,21,12,9,12,11,1.9145833333333329,2,66,555.25,20.0
22,25,13,12,12,10,23.199166666666667,3,67,472.236,20.0
23,20,8,12,12,8,141.53741666666667,2,30,450.717,20.0
24,23,14,9,12,11,1.3875833333333414,3,62,313.527,20.0
25,18,5,13,12,11,0.5021666666666604,1,23,255.425,20.0
26,19,13,6,11,11,2.2889090909090934,1,24,510.471,20.0
27,24,16,8,11,11,2.942727272727268,1,18,206.268,20.0
28,21,10,11,12,9,64.63574999999999,2,17,245.547,20.0
29,24,14,10,12,11,1.4779166666666679,3,50,584.96,20.0
30,21,9,12,12,9,135.87199999999999,2,42,591.091,20.0
31,20,9,11,12,9,128.3529166666667,2,19,415.625,20.0
32,22,10,12,12,10,70.59718181818181,2,41,541.056,20.0
33,22,14,8,12,10,47.431749999999994,3,66,484.153,20.0
34,24,16,8,12,7,96.6634,2,37,242.156,20.0
35,23,13,10,12,8,119.07691666666665,2,30,242.307,20.0
