state,action,qvalue
0,0,38.0918
0,1,59.6708
0,2,41.4892
1,0,0
1,1,0
1,2,0
2,0,0.00390994
2,1,19.4807
2,2,6.5393
3,0,0
3,1,0
3,2,0
